scenario_id,trajectory_id,time_step,phase,adaptive_action,adaptive_utility,adaptive_secure_bits,adaptive_violation,fixed_bb84_conservative_action,fixed_bb84_conservative_utility,fixed_bb84_conservative_bits,fixed_bb84_conservative_violation,fixed_bb84_aggressive_action,fixed_bb84_aggressive_utility,fixed_bb84_aggressive_bits,fixed_bb84_aggressive_violation,fixed_mdi_action,fixed_mdi_utility,fixed_mdi_bits,fixed_mdi_violation,training_optimal_fixed_action,training_optimal_fixed_utility,training_optimal_fixed_bits,training_optimal_fixed_violation,heuristic_policy_action,heuristic_policy_utility,heuristic_policy_bits,heuristic_policy_violation,abort_baseline_action,abort_baseline_utility,abort_baseline_bits,abort_baseline_violation
0,0,0,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,48738630.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,50975598.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,591186364.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,626649796.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,591186364.0,False,ABORT,-24000.0,0.0,False
1,0,1,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,47055432.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,48664539.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,563525686.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,604717957.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,563525686.0,False,ABORT,-24000.0,0.0,False
2,0,2,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,44707474.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,45684219.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,528876359.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,575309176.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,528876359.0,False,ABORT,-24000.0,0.0,False
3,0,3,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,46323197.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,42327132.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,491429546.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,540589957.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,491429546.0,False,ABORT,-24000.0,0.0,False
4,0,4,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,50594714.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,45748178.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,531568563.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,573983576.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,531568563.0,False,ABORT,-24000.0,0.0,False
5,0,5,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,50280191.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,48795668.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,564754781.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,606316538.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,564754781.0,False,ABORT,-24000.0,0.0,False
6,0,6,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,53704350.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,55240939.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,639857861.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,669461601.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,639857861.0,False,ABORT,-24000.0,0.0,False
7,0,7,normal,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,53409184.0,False,decoy_bb84|mu=0.40|nu=0.05|p=0.80|N=10000000000,11900.0,53014979.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,615297098.0,False,ABORT,-24000.0,0.0,False,decoy_bb84|mu=0.40|nu=0.10|p=0.80|N=100000000000,11000.0,646161613.0,False,decoy_bb84|mu=0.55|nu=0.10|p=0.90|N=100000000000,11000.0,615297098.0,False,ABORT,-24000.0,0.0,False
32,4,0,normal,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False
33,4,1,normal,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False,ABORT,-24000.0,0.0,False
