distance_km,pulses,secure_bits,abort,s_x0_lower,s_x1_lower,s_z1_lower,v_z1_upper,phase_error_upper,leak_ec,eps_sec,eps_cor
0,100000000,0,True,0.0,4172465.3535283427,0.0,3673.7609504496095,0.5,1031599,1e-10,1e-15
0,1000000000,21037746,False,0.0,47845905.503635466,311079.05842433084,18783.267360331614,0.0644044299162825,10316058,1e-10,1e-15
0,10000000000,309197133,False,0.0,497816932.06764454,5261684.183689819,131247.28735006342,0.025570638863123194,103160573,1e-10,1e-15
25,100000000,0,True,0.0,1080476.4208177538,0.0,1841.2041308928306,0.5,339875,1e-10,1e-15
25,1000000000,0,True,0.0,14318343.401080234,16284.133065921164,8093.05345550484,0.5,3398780,1e-10,1e-15
25,10000000000,85666624,False,0.0,154293716.8497691,1397374.5577950655,48540.426663986924,0.03618121075978217,33987806,1e-10,1e-15
50,100000000,0,True,0.0,212403.39538877364,0.0,963.6461294227004,0.5,108931,1e-10,1e-15
50,1000000000,0,True,0.0,4112816.9323458443,0.0,3745.0210337221315,0.5,1089313,1e-10,1e-15
50,10000000000,19449968,False,0.0,47417322.332173854,298138.8404661783,19144.32416187967,0.06844113077519565,10893089,1e-10,1e-15
75,100000000,0,True,0.0,0.0,0.0,515.8349807767637,0.5,34623,1e-10,1e-15
75,1000000000,0,True,0.0,1072243.178566366,0.0,1855.1217983322836,0.5,346289,1e-10,1e-15
75,10000000000,0,True,0.0,14266177.675116846,14247.97188108537,8176.357266744097,0.5,3462895,1e-10,1e-15
100,100000000,0,True,0.0,0.0,0.0,292.06087967362623,0.5,11004,1e-10,1e-15
100,1000000000,0,True,0.0,211227.60220947195,0.0,969.1134753965592,0.5,110038,1e-10,1e-15
100,10000000000,0,True,0.0,4106534.8938444643,0.0,3798.4288766628297,0.5,1100396,1e-10,1e-15
