pulses,basis,intensity,sent,detected,errors,gain,gain_low,gain_high,error_gain,error_gain_low,error_gain_high
100000,X,signal,65106,2520,40,0.03870611003594139,0.03511560809661919,0.042528038853406655,0.0006143826989831966,0.00025007761624540467,0.001232569892710626
100000,Z,signal,761,29,0,0.03810775295663601,0.0130153577531963,0.0831441004869689,0.0,0.0,0.018884660830332668
100000,X,decoy,12021,111,1,0.009233840778637384,0.005572433747107255,0.014239742857943936,8.318775476249896e-05,4.159388777885727e-11,0.001448325406525977
100000,Z,decoy,138,3,0,0.021739130434782608,0.00010565149756442224,0.14980458240906736,0.0,0.0,0.09979719396518394
100000,X,vacuum,4067,0,0,0.0,0.0,0.0035610546637412453,0.0,0.0,0.0035610546637412453
100000,Z,vacuum,33,0,0,0.0,0.0,0.3557421824037827,0.0,0.0,0.3557421824037827
1000000,X,signal,648177,25328,375,0.03907574628535107,0.03790919774750061,0.040265478016688325,0.0005785456750239517,0.00044403080947065125,0.0007383315286449796
1000000,Z,signal,7964,319,8,0.04005524861878453,0.03017819645332558,0.051826160968849344,0.0010045203415369162,8.295641463366445e-05,0.00399638975562536
1000000,X,decoy,121401,992,18,0.008171267123005577,0.006968707210561042,0.009506366562423917,0.00014826895989324636,3.462065861903045e-05,0.0003985215285638549
1000000,Z,decoy,1465,17,0,0.011604095563139932,0.0025793280659646336,0.031639912391115736,0.0,0.0,0.00985464226921173
1000000,X,vacuum,40535,0,0,0.0,0.0,0.0003578650922084252,0.0,0.0,0.0003578650922084252
1000000,Z,vacuum,506,0,0,0.0,0.0,0.028266060356335325,0.0,0.0,0.028266060356335325
