total_distance_km,pulses,secure_bits,abort,y11_lower,e11_upper,n11_lower,phase_error_upper,leak_ec,eps_sec
20,1000000000,0,True,0.0104736649897015,0.24423515953643815,305716.13555224764,0.2509575585831356,667473,1.1999999999999999e-11
20,10000000000,5161245,False,0.04508652217816788,0.048569082089857635,16535741.395381855,0.04948313562722101,6674711,1.1999999999999999e-11
20,100000000000,112099063,False,0.0597764228062658,0.0297023126174174,221935312.90908617,0.029951812453488172,66747105,1.1999999999999999e-11
50,1000000000,0,True,0.0,1.0,0.0,0.5,180824,1.1999999999999999e-11
50,10000000000,0,True,0.0060896951504882885,0.10478509483862634,2001958.711030721,0.10741206966716083,1808240,1.1999999999999999e-11
50,100000000000,17589177,False,0.012909516914797239,0.040116975653647684,47266377.70800855,0.040657614576279706,18082422,1.1999999999999999e-11
80,1000000000,0,True,0.0,1.0,0.0,0.5,47427,1.1999999999999999e-11
80,10000000000,0,True,0.0,1.0,0.0,0.5,474266,1.1999999999999999e-11
80,100000000000,108405,False,0.002290972509449443,0.06956365567186377,7691974.205406385,0.07090384007676583,4742646,1.1999999999999999e-11
100,1000000000,0,True,0.0,1.0,0.0,0.5,19361,1.1999999999999999e-11
100,10000000000,0,True,0.0,1.0,0.0,0.5,193633,1.1999999999999999e-11
100,100000000000,0,True,0.00047960927803387347,0.14237726991656455,941178.9293876465,0.14620858060867478,1936351,1.1999999999999999e-11
