n,qber,seed,success,disclosed_bits,messages,iterations,elapsed_ms,f_ec
128,0.005,0,False,11,1,1,2.5341000000480562,1.8922840953840825
128,0.005,1,True,11,1,1,2.3848000055295415,1.8922840953840825
128,0.01,0,False,14,1,60,140.96900000004098,1.35376599493442
128,0.01,1,True,14,1,1,2.5591999947209843,1.35376599493442
256,0.005,0,True,21,1,1,5.145199997059535,1.8062711819575332
256,0.005,1,True,21,1,1,5.206900001212489,1.8062711819575332
256,0.01,0,True,28,1,1,5.082200004835613,1.35376599493442
256,0.01,1,True,28,1,13,62.22080000588903,1.35376599493442
512,0.005,0,True,41,1,1,10.820800001965836,1.7632647252442586
512,0.005,1,False,41,1,60,610.996299998078,1.7632647252442586
512,0.01,0,False,56,1,12,128.34120000479743,1.35376599493442
512,0.01,1,False,56,1,60,775.9836000041105,1.35376599493442
