budget_us,method,decoder,fraction
20.0,learned,NO_FEASIBLE_DECODER,0.8333333333333334
20.0,learned,mwpm_correlated,0.1256896551724138
20.0,learned,mwpm,0.040977011494252875
20.0,lookup,NO_FEASIBLE_DECODER,1.0
50.0,learned,NO_FEASIBLE_DECODER,0.7521264367816092
50.0,learned,mwpm_correlated,0.15405172413793103
50.0,learned,mwpm,0.09382183908045977
50.0,lookup,NO_FEASIBLE_DECODER,0.75
50.0,lookup,mwpm_correlated,0.21272988505747126
50.0,lookup,mwpm,0.037270114942528736
100.0,learned,NO_FEASIBLE_DECODER,0.4020402298850575
100.0,learned,mwpm,0.2850287356321839
100.0,learned,mwpm_correlated,0.26261494252873563
100.0,learned,bp_osd,0.050316091954022986
100.0,lookup,mwpm,0.6759195402298851
100.0,lookup,mwpm_correlated,0.32408045977011496
200.0,learned,mwpm_correlated,0.4336206896551724
200.0,learned,mwpm,0.30626436781609195
200.0,learned,NO_FEASIBLE_DECODER,0.147183908045977
200.0,learned,union_find,0.11293103448275862
200.0,lookup,mwpm,0.5164655172413793
200.0,lookup,mwpm_correlated,0.4835344827586207
500.0,learned,mwpm_correlated,0.597212643678161
500.0,learned,mwpm,0.28985632183908044
500.0,learned,union_find,0.11293103448275862
500.0,lookup,mwpm_correlated,0.7452586206896552
500.0,lookup,mwpm,0.2043103448275862
500.0,lookup,bp_osd,0.05040229885057471
500.0,lookup,union_find,2.8735632183908045e-05
1000.0,learned,mwpm_correlated,0.6360919540229885
1000.0,learned,mwpm,0.23876436781609195
1000.0,learned,union_find,0.12514367816091954
1000.0,lookup,mwpm_correlated,0.8045689655172413
1000.0,lookup,mwpm,0.145
1000.0,lookup,bp_osd,0.05040229885057471
1000.0,lookup,union_find,2.8735632183908045e-05
5000.0,learned,mwpm_correlated,0.6360919540229885
5000.0,learned,mwpm,0.1910344827586207
5000.0,learned,union_find,0.12514367816091954
5000.0,learned,bp_osd,0.047729885057471264
5000.0,lookup,mwpm_correlated,0.8052011494252873
5000.0,lookup,mwpm,0.11655172413793104
5000.0,lookup,bp_osd,0.0782183908045977
5000.0,lookup,union_find,2.8735632183908045e-05
20000.0,learned,mwpm_correlated,0.6360919540229885
20000.0,learned,mwpm,0.1442816091954023
20000.0,learned,union_find,0.12514367816091954
20000.0,learned,bp_osd,0.09448275862068965
20000.0,lookup,mwpm_correlated,0.8052011494252873
20000.0,lookup,mwpm,0.11646551724137931
20000.0,lookup,bp_osd,0.07830459770114942
20000.0,lookup,union_find,2.8735632183908045e-05
100000.0,learned,mwpm_correlated,0.6360919540229885
100000.0,learned,mwpm,0.1442816091954023
100000.0,learned,union_find,0.12514367816091954
100000.0,learned,bp_osd,0.09448275862068965
100000.0,lookup,mwpm_correlated,0.8052011494252873
100000.0,lookup,mwpm,0.11646551724137931
100000.0,lookup,bp_osd,0.07830459770114942
100000.0,lookup,union_find,2.8735632183908045e-05
