distance,decoder,rho_bin,logical_failure_rate,p50_us,p95_us,p99_us,samples,rho_mid
3.0,bp_osd,"(-0.001, 0.025]",0.0,25.0,44.8,71.10699999999997,8994,0.012
3.0,bp_osd,"(0.025, 0.05]",0.009329940627650551,70.3,96.61500000000001,152.38599999999997,2358,0.037500000000000006
3.0,bp_osd,"(0.075, 0.1]",0.014142453072769349,70.2,106.0,207.74399999999986,3889,0.0875
3.0,bp_osd,"(0.1, 0.125]",0.0592469545957918,79.8,207.575,275.30500000000006,1806,0.1125
3.0,bp_osd,"(0.15, 0.175]",0.11529766390354182,88.0,242.04000000000002,329.214,1327,0.16249999999999998
3.0,bp_osd,"(0.2, 0.225]",0.1679160419790105,115.4,251.1099999999999,344.0740000000013,667,0.21250000000000002
3.0,bp_osd,"(0.225, 0.25]",0.18373493975903615,148.2,272.73999999999995,383.807,332,0.2375
3.0,bp_osd,"(0.275, 0.3]",0.2462686567164179,155.65,300.7099999999998,454.0989999999996,134,0.2875
3.0,bp_osd,"(0.325, 0.35]",0.35294117647058826,224.7,268.45000000000005,326.1,51,0.3375
3.0,bp_osd,"(0.35, 0.375]",0.48,228.8,338.75999999999976,381.09999999999997,25,0.3625
3.0,bp_osd,"(0.4, 0.425]",0.45454545454545453,239.7,356.45,422.09000000000003,11,0.4125
3.0,bp_osd,"(0.45, 0.475]",0.5,208.15,320.51499999999993,329.62299999999993,4,0.4625
3.0,bp_osd,"(0.475, 0.5]",0.0,216.75,245.505,248.06099999999998,2,0.4875
3.0,mwpm,"(-0.001, 0.025]",0.0,6.1,30.2,43.10699999999997,8994,0.012
3.0,mwpm,"(0.025, 0.05]",0.009329940627650551,18.2,33.9,46.48599999999997,2358,0.037500000000000006
3.0,mwpm,"(0.075, 0.1]",0.014399588583183338,18.6,34.16,56.435999999999964,3889,0.0875
3.0,mwpm,"(0.1, 0.125]",0.04318936877076412,29.8,36.6,54.06000000000004,1806,0.1125
3.0,mwpm,"(0.15, 0.175]",0.06857573474001508,30.4,38.710000000000015,52.6,1327,0.16249999999999998
3.0,mwpm,"(0.2, 0.225]",0.12293853073463268,31.6,41.8,57.674000000000035,667,0.21250000000000002
3.0,mwpm,"(0.225, 0.25]",0.12048192771084337,32.7,48.09499999999999,72.36499999999998,332,0.2375
3.0,mwpm,"(0.275, 0.3]",0.27611940298507465,34.3,45.504999999999995,56.857999999999905,134,0.2875
3.0,mwpm,"(0.325, 0.35]",0.1568627450980392,33.9,41.3,55.050000000000004,51,0.3375
3.0,mwpm,"(0.35, 0.375]",0.24,37.7,45.239999999999995,46.56399999999999,25,0.3625
3.0,mwpm,"(0.4, 0.425]",0.36363636363636365,35.0,41.849999999999994,42.29,11,0.4125
3.0,mwpm,"(0.45, 0.475]",0.75,34.45,48.01,49.282,4,0.4625
3.0,mwpm,"(0.475, 0.5]",0.5,37.95,45.01499999999999,45.642999999999994,2,0.4875
3.0,mwpm_correlated,"(-0.001, 0.025]",0.0,6.1,30.1,35.6,8994,0.012
3.0,mwpm_correlated,"(0.025, 0.05]",0.009329940627650551,16.8,36.01500000000001,46.57199999999993,2358,0.037500000000000006
3.0,mwpm_correlated,"(0.075, 0.1]",0.014399588583183338,17.2,36.9,45.81199999999998,3889,0.0875
3.0,mwpm_correlated,"(0.1, 0.125]",0.03986710963455149,19.15,41.775,54.15000000000005,1806,0.1125
3.0,mwpm_correlated,"(0.15, 0.175]",0.07083647324792766,20.9,44.07000000000001,63.25000000000002,1327,0.16249999999999998
