noise_case,basis,distance,px,py,pz,decoder,shots,failures,logical_failure_rate
isotropic,x,3,0.002,0.002,0.002,mwpm,20000,17,0.00085
isotropic,x,3,0.002,0.002,0.002,mwpm_correlated,20000,19,0.00095
z_biased,x,3,0.00025,0.00025,0.0055,mwpm,20000,20,0.001
z_biased,x,3,0.00025,0.00025,0.0055,mwpm_correlated,20000,19,0.00095
x_biased,x,3,0.0055,0.00025,0.00025,mwpm,20000,0,0.0
x_biased,x,3,0.0055,0.00025,0.00025,mwpm_correlated,20000,0,0.0
y_rich,x,3,0.0005,0.005,0.0005,mwpm,20000,38,0.0019
y_rich,x,3,0.0005,0.005,0.0005,mwpm_correlated,20000,32,0.0016
isotropic,x,5,0.002,0.002,0.002,mwpm,20000,1,5e-05
isotropic,x,5,0.002,0.002,0.002,mwpm_correlated,20000,2,0.0001
z_biased,x,5,0.00025,0.00025,0.0055,mwpm,20000,8,0.0004
z_biased,x,5,0.00025,0.00025,0.0055,mwpm_correlated,20000,7,0.00035
x_biased,x,5,0.0055,0.00025,0.00025,mwpm,20000,0,0.0
x_biased,x,5,0.0055,0.00025,0.00025,mwpm_correlated,20000,0,0.0
y_rich,x,5,0.0005,0.005,0.0005,mwpm,20000,3,0.00015
y_rich,x,5,0.0005,0.005,0.0005,mwpm_correlated,20000,1,5e-05
isotropic,x,7,0.002,0.002,0.002,mwpm,20000,0,0.0
isotropic,x,7,0.002,0.002,0.002,mwpm_correlated,20000,0,0.0
z_biased,x,7,0.00025,0.00025,0.0055,mwpm,20000,0,0.0
z_biased,x,7,0.00025,0.00025,0.0055,mwpm_correlated,20000,0,0.0
x_biased,x,7,0.0055,0.00025,0.00025,mwpm,20000,0,0.0
x_biased,x,7,0.0055,0.00025,0.00025,mwpm_correlated,20000,0,0.0
y_rich,x,7,0.0005,0.005,0.0005,mwpm,20000,2,0.0001
y_rich,x,7,0.0005,0.005,0.0005,mwpm_correlated,20000,0,0.0
isotropic,z,3,0.002,0.002,0.002,mwpm,20000,17,0.00085
isotropic,z,3,0.002,0.002,0.002,mwpm_correlated,20000,22,0.0011
z_biased,z,3,0.00025,0.00025,0.0055,mwpm,20000,0,0.0
z_biased,z,3,0.00025,0.00025,0.0055,mwpm_correlated,20000,0,0.0
x_biased,z,3,0.0055,0.00025,0.00025,mwpm,20000,42,0.0021
x_biased,z,3,0.0055,0.00025,0.00025,mwpm_correlated,20000,42,0.0021
y_rich,z,3,0.0005,0.005,0.0005,mwpm,20000,34,0.0017
y_rich,z,3,0.0005,0.005,0.0005,mwpm_correlated,20000,33,0.00165
isotropic,z,5,0.002,0.002,0.002,mwpm,20000,3,0.00015
isotropic,z,5,0.002,0.002,0.002,mwpm_correlated,20000,2,0.0001
z_biased,z,5,0.00025,0.00025,0.0055,mwpm,20000,0,0.0
z_biased,z,5,0.00025,0.00025,0.0055,mwpm_correlated,20000,0,0.0
x_biased,z,5,0.0055,0.00025,0.00025,mwpm,20000,6,0.0003
x_biased,z,5,0.0055,0.00025,0.00025,mwpm_correlated,20000,6,0.0003
y_rich,z,5,0.0005,0.005,0.0005,mwpm,20000,7,0.00035
y_rich,z,5,0.0005,0.005,0.0005,mwpm_correlated,20000,3,0.00015
isotropic,z,7,0.002,0.002,0.002,mwpm,20000,0,0.0
isotropic,z,7,0.002,0.002,0.002,mwpm_correlated,20000,0,0.0
z_biased,z,7,0.00025,0.00025,0.0055,mwpm,20000,0,0.0
z_biased,z,7,0.00025,0.00025,0.0055,mwpm_correlated,20000,0,0.0
x_biased,z,7,0.0055,0.00025,0.00025,mwpm,20000,0,0.0
x_biased,z,7,0.0055,0.00025,0.00025,mwpm_correlated,20000,0,0.0
y_rich,z,7,0.0005,0.005,0.0005,mwpm,20000,2,0.0001
y_rich,z,7,0.0005,0.005,0.0005,mwpm_correlated,20000,2,0.0001
