decoder,samples,logical_failure_rate,mean_us,p95_us,p99_us,throughput_per_s,distance,p
mwpm,4900,0.007551020408163266,4.692836734693878,5.4,7.3,213090.7288137804,3,0.003
mwpm_correlated,4900,0.006530612244897959,5.128714285714286,7.1,9.9,194980.64120776585,3,0.003
mwpm,4900,0.01979591836734694,4.9598775510204085,5.9,7.5,201617.88062575605,3,0.005
mwpm_correlated,4900,0.017551020408163264,5.5946530612244905,8.2,10.601000000000022,178742.09339821548,3,0.005
mwpm,4900,0.03163265306122449,5.07734693877551,6.4,8.2,196953.25374814103,3,0.007
mwpm_correlated,4900,0.029183673469387755,5.955326530612244,9.1,11.902000000000044,167916.90512009486,3,0.007
mwpm,4900,0.002653061224489796,9.392142857142858,9.4,23.017000000000372,106471.97505513727,5,0.003
mwpm_correlated,4900,0.0012244897959183673,8.815387755102039,15.405000000000019,21.6,113438.00497275175,5,0.003
mwpm,4900,0.015714285714285715,7.4545102040816325,11.505000000000019,15.502000000000043,134146.97580700356,5,0.005
mwpm_correlated,4900,0.01183673469387755,12.409408163265306,21.7,29.801000000000023,80584.02035322115,5,0.005
mwpm,4900,0.04163265306122449,8.60365306122449,14.1,18.501000000000023,116229.69834835228,5,0.007
mwpm_correlated,4900,0.031020408163265307,15.186673469387758,27.705000000000016,35.5,65847.20492053316,5,0.007
mwpm,4900,0.0012244897959183673,9.570571428571428,14.80500000000002,19.502000000000045,104486.96898229692,7,0.003
mwpm_correlated,4900,0.0006122448979591836,17.366938775510203,29.8,39.20100000000002,57580.67169616208,7,0.003
mwpm,4900,0.012244897959183673,13.637285714285717,22.9,30.5,73328.37493845653,7,0.005
mwpm_correlated,4900,0.007551020408163266,27.351571428571432,47.2,66.31000000000022,36560.97064154057,7,0.005
mwpm,4900,0.03877551020408163,18.531306122448978,31.3,41.90100000000002,53962.73707812704,7,0.007
mwpm_correlated,4900,0.024285714285714285,39.47889795918368,67.8,89.40100000000002,25329.987707201883,7,0.007
mwpm,4900,0.0010204081632653062,15.909122448979595,24.5,31.501000000000023,62857.01824264604,9,0.003
mwpm_correlated,4900,0.0,34.79534693877551,54.0,72.70700000000015,28739.474900467572,9,0.003
mwpm,4900,0.007959183673469388,25.32308163265306,41.3,56.60100000000002,39489.664587683576,9,0.005
mwpm_correlated,4900,0.003061224489795918,57.64014285714286,92.20500000000003,122.6050000000001,17349.020152126122,9,0.005
mwpm,4900,0.03959183673469388,39.612591836734694,65.11000000000003,89.70100000000002,25244.498116193725,9,0.007
mwpm_correlated,4900,0.022244897959183673,91.54571428571428,144.50500000000002,188.70100000000002,10923.504260166663,9,0.007
