     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3345,        11,         0,   0.016,pymatching,13b5c0955ded0ab3297d3cc2d7549bbcf8b6e02f58713fea5ccca1e6d77bdef2,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      7441,       100,         0,   0.015,pymatching,5a2f33b45e5423d18e5b06eded47f7fbad09387b1b0193ba5cdc51f70909e378,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     19456,        66,         0,   0.011,pymatching,13b5c0955ded0ab3297d3cc2d7549bbcf8b6e02f58713fea5ccca1e6d77bdef2,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         1,         0,         0,   0.012,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      4096,        52,         0,   0.019,pymatching,5a2f33b45e5423d18e5b06eded47f7fbad09387b1b0193ba5cdc51f70909e378,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     24576,        83,         0,   0.017,pymatching,13b5c0955ded0ab3297d3cc2d7549bbcf8b6e02f58713fea5ccca1e6d77bdef2,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      5392,        73,         0,   0.020,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      4096,        75,         0,   0.023,pymatching,5a2f33b45e5423d18e5b06eded47f7fbad09387b1b0193ba5cdc51f70909e378,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     33792,       119,         0,   0.023,pymatching,13b5c0955ded0ab3297d3cc2d7549bbcf8b6e02f58713fea5ccca1e6d77bdef2,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      3072,        38,         0,   0.025,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      6144,        83,         0,   0.027,pymatching,5a2f33b45e5423d18e5b06eded47f7fbad09387b1b0193ba5cdc51f70909e378,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
         1,         0,         0,   0.048,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      2048,        28,         0,   0.036,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     29696,        99,         0,   0.041,pymatching,13b5c0955ded0ab3297d3cc2d7549bbcf8b6e02f58713fea5ccca1e6d77bdef2,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      8192,       111,         0,   0.019,pymatching,5a2f33b45e5423d18e5b06eded47f7fbad09387b1b0193ba5cdc51f70909e378,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      1160,         4,         0,   0.041,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
         1,         0,         0,   0.087,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
         1,         0,         0,   0.141,bp_osd,90398baf398ad97eea4123916adefc62b5d77cf2ad7d080c13d43cd709fc2415,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      4096,        49,         0,   0.051,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      1024,         1,         0,   0.033,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
