distance,basis,p,decoder,num_qubits,num_detectors,samples,logical_failure_rate,mean_us,p95_us,p99_us,throughput_per_s
3,x,0.005,mwpm,26,24,4900,0.018571428571428572,4.816877551020408,5.8,7.1,207603.36741135552
3,x,0.005,mwpm_correlated,26,24,4900,0.01693877551020408,5.504224489795918,8.1,10.5,181678.63644621757
5,x,0.005,mwpm,64,120,4900,0.013469387755102041,9.905510204081633,11.905000000000019,19.302000000000046,100953.91144899768
5,x,0.005,mwpm_correlated,64,120,4900,0.009795918367346938,11.802285714285714,21.205000000000016,29.2,84729.35024692553
7,x,0.005,mwpm,118,336,4900,0.014489795918367347,13.653836734693877,22.8,30.4,73239.48714422798
7,x,0.005,mwpm_correlated,118,336,4900,0.006326530612244898,27.2504693877551,47.2,62.40100000000002,36696.61559845815
9,x,0.005,mwpm,188,720,4900,0.009183673469387756,25.95351020408163,42.905000000000015,59.1090000000002,38530.433538147496
9,x,0.005,mwpm_correlated,188,720,4900,0.0034693877551020408,68.37591836734694,107.81000000000003,152.70400000000006,14625.032085529576
11,x,0.005,mwpm,274,1320,4900,0.00836734693877551,48.61851020408164,78.80500000000002,119.1,20568.297872608357
11,x,0.005,mwpm_correlated,274,1320,4900,0.002857142857142857,264.7218979591837,469.97500000000025,687.601,3777.5492232009674
3,z,0.005,mwpm,26,24,4900,0.018979591836734692,23.23734693877551,45.2,52.10200000000005,43034.172646074665
3,z,0.005,mwpm_correlated,26,24,4900,0.015306122448979591,21.98534693877551,33.7,64.82900000000063,45484.84055242731
5,z,0.005,mwpm,64,120,4900,0.015102040816326531,52.83440816326531,137.91500000000005,836.8570000000012,18927.05974693362
5,z,0.005,mwpm_correlated,64,120,4900,0.012653061224489797,34.0864693877551,62.2,93.70100000000002,29337.15394881086
7,z,0.005,mwpm,118,336,4900,0.010612244897959184,37.437979591836736,71.00500000000002,113.30600000000013,26710.84313048901
7,z,0.005,mwpm_correlated,118,336,4900,0.007551020408163266,77.61567346938776,152.11000000000004,239.50200000000004,12883.995658356402
9,z,0.005,mwpm,188,720,4900,0.005306122448979592,59.58489795918367,107.9,163.1050000000001,16782.77607666646
9,z,0.005,mwpm_correlated,188,720,4900,0.002653061224489796,130.38530612244898,228.9,347.9190000000004,7669.5758881055835
11,z,0.005,mwpm,274,1320,4900,0.004489795918367347,118.75385714285714,186.40500000000003,305.8120000000003,8420.779114543046
11,z,0.005,mwpm_correlated,274,1320,4900,0.0014285714285714286,275.1097142857143,442.7,682.2490000000012,3634.913447518081
