distance,p,decoder,mode,update_stride,temporal_groups,updates_per_shot,samples,logical_failure_rate,block_logical_failure_rate,final_block_disagreement_rate,block_mean_latency_us,block_p99_latency_us,mean_update_latency_us,p50_update_latency_us,p95_update_latency_us,p99_update_latency_us,mean_total_replay_latency_us,p99_total_replay_latency_us,mean_prediction_changes,mean_stability_fraction
3,0.005,mwpm,causal_prefix_replay,1,4,4,1900,0.01631578947368421,0.01631578947368421,0.0,5.087894736842105,15.801,5.133486842105263,4.6,6.8,16.90100000000002,20.533947368421053,65.505,0.28210526315789475,0.34960526315789475
3,0.005,mwpm,causal_prefix_replay,2,4,2,1900,0.017894736842105262,0.017894736842105262,0.0,5.0392631578947364,8.901,7.086236842105262,4.9,15.5,24.10599999999986,14.172473684210525,60.51099999999999,0.08526315789473685,0.5426315789473685
3,0.005,mwpm,causal_prefix_replay,3,4,2,1900,0.019473684210526317,0.019473684210526317,0.0,12.497631578947368,45.62899999999998,19.284026315789475,21.3,27.704999999999973,41.601999999999954,38.56805263157895,93.29799999999982,0.06473684210526316,0.5323684210526316
5,0.005,mwpm,causal_prefix_replay,1,6,6,1900,0.016842105263157894,0.016842105263157894,0.0,25.84894736842105,70.91899999999998,23.295815789473682,23.0,35.5,47.9,139.77489473684213,266.05,1.1426315789473684,0.4916666666666667
5,0.005,mwpm,causal_prefix_replay,2,6,3,1900,0.015263157894736841,0.015263157894736841,0.0,29.62815789473684,58.903,36.20828070175438,24.8,41.10500000000002,342.5290000000028,108.62484210526316,1255.3409999999983,0.4605263157894737,0.5152631578947368
5,0.005,mwpm,causal_prefix_replay,3,6,2,1900,0.019473684210526317,0.019473684210526317,0.0,22.791473684210526,48.10699999999999,26.74671052631579,25.6,40.0,51.014999999999645,53.49342105263158,113.52599999999998,0.23105263157894737,0.6155263157894737
7,0.005,mwpm,causal_prefix_replay,1,8,8,1900,0.009473684210526316,0.009473684210526316,0.0,46.18321052631579,118.05299999999995,36.763447368421055,32.4,69.4,99.70100000000002,294.10757894736844,617.231,2.3663157894736844,0.6751973684210526
7,0.005,mwpm,causal_prefix_replay,2,8,4,1900,0.013157894736842105,0.013157894736842105,0.0,36.61084210526315,83.80499999999999,37.47973684210526,31.45,74.1,118.30400000000009,149.91894736842104,390.32599999999996,1.0015789473684211,0.5993421052631579
7,0.005,mwpm,causal_prefix_replay,3,8,3,1900,0.015789473684210527,0.015789473684210527,0.0,37.5661052631579,101.94399999999996,20.956947368421048,16.5,46.50500000000002,69.50100000000002,62.87084210526316,189.619,0.6973684210526315,0.609298245614035
9,0.005,mwpm,causal_prefix_replay,1,10,10,1900,0.009473684210526316,0.009473684210526316,0.0,25.63878947368421,58.51699999999998,25.746468421052633,21.4,57.3,81.40299999999952,257.46468421052634,453.339,3.698421052631579,0.8087894736842105
9,0.005,mwpm,causal_prefix_replay,2,10,5,1900,0.00631578947368421,0.00631578947368421,0.0,25.411157894736842,55.202,26.506705263157897,22.15,57.0,82.0,132.5335263157895,262.504,1.6142105263157895,0.6995789473684211
9,0.005,mwpm,causal_prefix_replay,3,10,4,1900,0.011052631578947368,0.011052631578947368,0.0,25.780894736842104,59.22199999999998,71.65503947368421,60.1,142.40499999999994,245.4140000000003,286.62015789473685,780.073,1.2263157894736842,0.6686842105263158
