distance,p,update_stride,shot_id,update_number,groups_seen,detectors_seen,latency_us
3,0.005,1,100,1,1,4,15.8
3,0.005,1,100,2,2,12,13.0
3,0.005,1,100,3,3,20,13.4
3,0.005,1,100,4,4,24,13.2
3,0.005,1,101,1,1,4,15.8
3,0.005,1,101,2,2,12,13.5
3,0.005,1,101,3,3,20,13.4
3,0.005,1,101,4,4,24,13.2
3,0.005,1,102,1,1,4,14.6
3,0.005,1,102,2,2,12,13.2
3,0.005,1,102,3,3,20,13.7
3,0.005,1,102,4,4,24,13.6
3,0.005,1,103,1,1,4,14.2
3,0.005,1,103,2,2,12,13.6
3,0.005,1,103,3,3,20,13.6
3,0.005,1,103,4,4,24,13.8
3,0.005,1,104,1,1,4,14.3
3,0.005,1,104,2,2,12,14.2
3,0.005,1,104,3,3,20,15.8
3,0.005,1,104,4,4,24,16.2
3,0.005,1,105,1,1,4,14.6
3,0.005,1,105,2,2,12,13.3
3,0.005,1,105,3,3,20,13.6
3,0.005,1,105,4,4,24,13.7
3,0.005,1,106,1,1,4,16.1
3,0.005,1,106,2,2,12,15.1
3,0.005,1,106,3,3,20,15.4
3,0.005,1,106,4,4,24,15.2
3,0.005,1,107,1,1,4,15.0
3,0.005,1,107,2,2,12,14.2
3,0.005,1,107,3,3,20,14.7
3,0.005,1,107,4,4,24,14.5
3,0.005,1,108,1,1,4,15.7
3,0.005,1,108,2,2,12,18.0
3,0.005,1,108,3,3,20,14.6
3,0.005,1,108,4,4,24,14.4
3,0.005,1,109,1,1,4,15.4
3,0.005,1,109,2,2,12,21.2
3,0.005,1,109,3,3,20,14.7
3,0.005,1,109,4,4,24,14.2
3,0.005,1,110,1,1,4,15.0
3,0.005,1,110,2,2,12,23.1
3,0.005,1,110,3,3,20,15.7
3,0.005,1,110,4,4,24,13.6
3,0.005,1,111,1,1,4,14.4
3,0.005,1,111,2,2,12,22.5
3,0.005,1,111,3,3,20,16.5
3,0.005,1,111,4,4,24,16.5
3,0.005,1,112,1,1,4,14.8
3,0.005,1,112,2,2,12,14.6
3,0.005,1,112,3,3,20,15.7
3,0.005,1,112,4,4,24,14.9
3,0.005,1,113,1,1,4,17.0
3,0.005,1,113,2,2,12,14.7
3,0.005,1,113,3,3,20,15.4
3,0.005,1,113,4,4,24,16.2
3,0.005,1,114,1,1,4,15.4
3,0.005,1,114,2,2,12,14.4
3,0.005,1,114,3,3,20,14.9
3,0.005,1,114,4,4,24,15.0
3,0.005,1,115,1,1,4,17.0
3,0.005,1,115,2,2,12,15.5
3,0.005,1,115,3,3,20,17.1
3,0.005,1,115,4,4,24,32.0
3,0.005,1,116,1,1,4,16.0
3,0.005,1,116,2,2,12,13.5
3,0.005,1,116,3,3,20,14.9
3,0.005,1,116,4,4,24,14.7
3,0.005,1,117,1,1,4,17.1
3,0.005,1,117,2,2,12,14.0
3,0.005,1,117,3,3,20,14.4
3,0.005,1,117,4,4,24,16.3
3,0.005,1,118,1,1,4,15.5
3,0.005,1,118,2,2,12,13.7
3,0.005,1,118,3,3,20,14.2
3,0.005,1,118,4,4,24,13.9
3,0.005,1,119,1,1,4,14.8
3,0.005,1,119,2,2,12,14.8
3,0.005,1,119,3,3,20,14.9
3,0.005,1,119,4,4,24,15.3
3,0.005,1,120,1,1,4,14.7
3,0.005,1,120,2,2,12,13.4
3,0.005,1,120,3,3,20,14.9
3,0.005,1,120,4,4,24,14.0
3,0.005,1,121,1,1,4,15.5
3,0.005,1,121,2,2,12,13.3
3,0.005,1,121,3,3,20,15.2
3,0.005,1,121,4,4,24,14.9
3,0.005,1,122,1,1,4,15.7
3,0.005,1,122,2,2,12,14.5
3,0.005,1,122,3,3,20,14.8
3,0.005,1,122,4,4,24,15.0
3,0.005,1,123,1,1,4,16.2
3,0.005,1,123,2,2,12,14.7
3,0.005,1,123,3,3,20,14.7
3,0.005,1,123,4,4,24,14.7
3,0.005,1,124,1,1,4,14.6
3,0.005,1,124,2,2,12,14.0
3,0.005,1,124,3,3,20,17.7
3,0.005,1,124,4,4,24,15.3
3,0.005,1,125,1,1,4,15.1
3,0.005,1,125,2,2,12,14.1
3,0.005,1,125,3,3,20,13.7
3,0.005,1,125,4,4,24,13.8
3,0.005,1,126,1,1,4,14.5
3,0.005,1,126,2,2,12,15.8
3,0.005,1,126,3,3,20,18.9
3,0.005,1,126,4,4,24,15.5
3,0.005,1,127,1,1,4,16.6
3,0.005,1,127,2,2,12,13.4
3,0.005,1,127,3,3,20,18.4
3,0.005,1,127,4,4,24,31.6
3,0.005,1,128,1,1,4,18.2
3,0.005,1,128,2,2,12,25.2
3,0.005,1,128,3,3,20,15.5
3,0.005,1,128,4,4,24,13.8
3,0.005,1,129,1,1,4,16.6
3,0.005,1,129,2,2,12,13.2
3,0.005,1,129,3,3,20,31.0
3,0.005,1,129,4,4,24,13.9
3,0.005,1,130,1,1,4,14.9
3,0.005,1,130,2,2,12,13.5
3,0.005,1,130,3,3,20,28.4
3,0.005,1,130,4,4,24,13.7
3,0.005,1,131,1,1,4,14.4
3,0.005,1,131,2,2,12,13.3
3,0.005,1,131,3,3,20,13.6
3,0.005,1,131,4,4,24,13.5
3,0.005,1,132,1,1,4,14.6
3,0.005,1,132,2,2,12,13.4
3,0.005,1,132,3,3,20,13.7
3,0.005,1,132,4,4,24,13.5
3,0.005,1,133,1,1,4,37.3
3,0.005,1,133,2,2,12,13.8
3,0.005,1,133,3,3,20,14.2
3,0.005,1,133,4,4,24,15.8
3,0.005,1,134,1,1,4,16.9
3,0.005,1,134,2,2,12,30.7
3,0.005,1,134,3,3,20,17.9
3,0.005,1,134,4,4,24,28.7
3,0.005,1,135,1,1,4,17.4
3,0.005,1,135,2,2,12,13.5
3,0.005,1,135,3,3,20,14.6
3,0.005,1,135,4,4,24,14.1
3,0.005,1,136,1,1,4,14.0
3,0.005,1,136,2,2,12,13.2
3,0.005,1,136,3,3,20,16.7
3,0.005,1,136,4,4,24,13.3
3,0.005,1,137,1,1,4,18.3
3,0.005,1,137,2,2,12,15.4
3,0.005,1,137,3,3,20,15.7
3,0.005,1,137,4,4,24,15.4
3,0.005,1,138,1,1,4,29.6
3,0.005,1,138,2,2,12,29.4
3,0.005,1,138,3,3,20,19.8
3,0.005,1,138,4,4,24,14.4
3,0.005,1,139,1,1,4,15.8
3,0.005,1,139,2,2,12,14.3
3,0.005,1,139,3,3,20,14.3
3,0.005,1,139,4,4,24,14.1
3,0.005,1,140,1,1,4,14.7
3,0.005,1,140,2,2,12,13.2
3,0.005,1,140,3,3,20,15.1
3,0.005,1,140,4,4,24,14.4
3,0.005,1,141,1,1,4,16.2
3,0.005,1,141,2,2,12,15.3
3,0.005,1,141,3,3,20,18.9
3,0.005,1,141,4,4,24,15.6
3,0.005,1,142,1,1,4,14.8
3,0.005,1,142,2,2,12,13.6
3,0.005,1,142,3,3,20,13.6
3,0.005,1,142,4,4,24,13.6
3,0.005,1,143,1,1,4,15.4
3,0.005,1,143,2,2,12,13.9
3,0.005,1,143,3,3,20,14.1
3,0.005,1,143,4,4,24,15.4
3,0.005,1,144,1,1,4,14.7
3,0.005,1,144,2,2,12,13.1
3,0.005,1,144,3,3,20,14.4
3,0.005,1,144,4,4,24,14.2
3,0.005,1,145,1,1,4,14.4
3,0.005,1,145,2,2,12,13.1
3,0.005,1,145,3,3,20,13.4
3,0.005,1,145,4,4,24,13.3
3,0.005,1,146,1,1,4,16.3
3,0.005,1,146,2,2,12,15.0
3,0.005,1,146,3,3,20,15.2
3,0.005,1,146,4,4,24,30.6
3,0.005,1,147,1,1,4,27.6
3,0.005,1,147,2,2,12,15.6
3,0.005,1,147,3,3,20,15.1
3,0.005,1,147,4,4,24,14.9
3,0.005,1,148,1,1,4,14.4
3,0.005,1,148,2,2,12,12.9
3,0.005,1,148,3,3,20,13.6
3,0.005,1,148,4,4,24,13.8
3,0.005,1,149,1,1,4,14.2
3,0.005,1,149,2,2,12,13.2
3,0.005,1,149,3,3,20,13.7
3,0.005,1,149,4,4,24,13.3
3,0.005,1,150,1,1,4,14.3
3,0.005,1,150,2,2,12,13.6
3,0.005,1,150,3,3,20,13.5
3,0.005,1,150,4,4,24,27.3
3,0.005,1,151,1,1,4,17.8
3,0.005,1,151,2,2,12,6.6
3,0.005,1,151,3,3,20,5.1
3,0.005,1,151,4,4,24,6.2
3,0.005,1,152,1,1,4,5.4
3,0.005,1,152,2,2,12,5.4
3,0.005,1,152,3,3,20,5.0
3,0.005,1,152,4,4,24,5.4
3,0.005,1,153,1,1,4,4.8
3,0.005,1,153,2,2,12,5.9
3,0.005,1,153,3,3,20,5.2
3,0.005,1,153,4,4,24,4.9
3,0.005,1,154,1,1,4,4.6
3,0.005,1,154,2,2,12,4.7
3,0.005,1,154,3,3,20,4.9
3,0.005,1,154,4,4,24,4.6
3,0.005,1,155,1,1,4,4.3
3,0.005,1,155,2,2,12,4.6
3,0.005,1,155,3,3,20,4.4
3,0.005,1,155,4,4,24,4.4
3,0.005,1,156,1,1,4,4.5
3,0.005,1,156,2,2,12,4.3
3,0.005,1,156,3,3,20,4.2
3,0.005,1,156,4,4,24,4.1
3,0.005,1,157,1,1,4,4.4
3,0.005,1,157,2,2,12,4.1
3,0.005,1,157,3,3,20,4.7
3,0.005,1,157,4,4,24,4.4
3,0.005,1,158,1,1,4,4.6
3,0.005,1,158,2,2,12,4.6
3,0.005,1,158,3,3,20,4.6
3,0.005,1,158,4,4,24,4.5
3,0.005,1,159,1,1,4,4.4
3,0.005,1,159,2,2,12,4.1
3,0.005,1,159,3,3,20,4.1
3,0.005,1,159,4,4,24,4.3
3,0.005,1,160,1,1,4,4.5
3,0.005,1,160,2,2,12,4.2
3,0.005,1,160,3,3,20,4.2
3,0.005,1,160,4,4,24,4.2
3,0.005,1,161,1,1,4,5.1
3,0.005,1,161,2,2,12,4.6
3,0.005,1,161,3,3,20,7.6
3,0.005,1,161,4,4,24,6.4
3,0.005,1,162,1,1,4,4.6
3,0.005,1,162,2,2,12,4.8
3,0.005,1,162,3,3,20,5.5
3,0.005,1,162,4,4,24,5.2
3,0.005,1,163,1,1,4,5.1
3,0.005,1,163,2,2,12,4.6
3,0.005,1,163,3,3,20,4.5
3,0.005,1,163,4,4,24,4.6
3,0.005,1,164,1,1,4,4.4
3,0.005,1,164,2,2,12,4.2
3,0.005,1,164,3,3,20,5.2
3,0.005,1,164,4,4,24,4.7
3,0.005,1,165,1,1,4,4.8
3,0.005,1,165,2,2,12,4.3
3,0.005,1,165,3,3,20,4.1
3,0.005,1,165,4,4,24,4.2
3,0.005,1,166,1,1,4,4.4
3,0.005,1,166,2,2,12,5.1
3,0.005,1,166,3,3,20,4.8
3,0.005,1,166,4,4,24,4.6
3,0.005,1,167,1,1,4,4.4
3,0.005,1,167,2,2,12,4.1
3,0.005,1,167,3,3,20,4.2
3,0.005,1,167,4,4,24,4.2
3,0.005,1,168,1,1,4,4.4
3,0.005,1,168,2,2,12,4.1
3,0.005,1,168,3,3,20,5.1
3,0.005,1,168,4,4,24,4.9
3,0.005,1,169,1,1,4,4.3
3,0.005,1,169,2,2,12,4.7
3,0.005,1,169,3,3,20,5.4
3,0.005,1,169,4,4,24,5.9
3,0.005,1,170,1,1,4,4.8
3,0.005,1,170,2,2,12,4.6
3,0.005,1,170,3,3,20,4.4
3,0.005,1,170,4,4,24,4.5
3,0.005,1,171,1,1,4,4.6
3,0.005,1,171,2,2,12,4.4
3,0.005,1,171,3,3,20,4.8
3,0.005,1,171,4,4,24,4.4
3,0.005,1,172,1,1,4,4.6
3,0.005,1,172,2,2,12,4.5
3,0.005,1,172,3,3,20,5.3
3,0.005,1,172,4,4,24,5.0
3,0.005,1,173,1,1,4,4.3
3,0.005,1,173,2,2,12,4.2
3,0.005,1,173,3,3,20,5.1
3,0.005,1,173,4,4,24,5.2
3,0.005,1,174,1,1,4,4.3
3,0.005,1,174,2,2,12,4.2
3,0.005,1,174,3,3,20,4.2
3,0.005,1,174,4,4,24,4.1
3,0.005,1,175,1,1,4,4.2
3,0.005,1,175,2,2,12,4.1
3,0.005,1,175,3,3,20,4.2
3,0.005,1,175,4,4,24,4.2
3,0.005,1,176,1,1,4,4.3
3,0.005,1,176,2,2,12,4.1
3,0.005,1,176,3,3,20,4.1
3,0.005,1,176,4,4,24,22.4
3,0.005,1,177,1,1,4,5.0
3,0.005,1,177,2,2,12,4.3
3,0.005,1,177,3,3,20,4.2
3,0.005,1,177,4,4,24,4.0
3,0.005,1,178,1,1,4,4.3
3,0.005,1,178,2,2,12,4.9
3,0.005,1,178,3,3,20,4.5
3,0.005,1,178,4,4,24,4.6
3,0.005,1,179,1,1,4,4.6
3,0.005,1,179,2,2,12,4.2
3,0.005,1,179,3,3,20,4.1
3,0.005,1,179,4,4,24,4.1
3,0.005,1,180,1,1,4,4.4
3,0.005,1,180,2,2,12,4.6
3,0.005,1,180,3,3,20,4.4
3,0.005,1,180,4,4,24,4.5
3,0.005,1,181,1,1,4,4.4
3,0.005,1,181,2,2,12,4.2
3,0.005,1,181,3,3,20,4.2
3,0.005,1,181,4,4,24,4.2
3,0.005,1,182,1,1,4,4.3
3,0.005,1,182,2,2,12,4.2
3,0.005,1,182,3,3,20,4.2
3,0.005,1,182,4,4,24,4.2
3,0.005,1,183,1,1,4,4.6
3,0.005,1,183,2,2,12,4.8
3,0.005,1,183,3,3,20,4.8
3,0.005,1,183,4,4,24,4.6
3,0.005,1,184,1,1,4,4.4
3,0.005,1,184,2,2,12,4.7
3,0.005,1,184,3,3,20,5.9
3,0.005,1,184,4,4,24,5.0
3,0.005,1,185,1,1,4,4.4
3,0.005,1,185,2,2,12,4.3
3,0.005,1,185,3,3,20,4.2
3,0.005,1,185,4,4,24,4.1
3,0.005,1,186,1,1,4,4.3
3,0.005,1,186,2,2,12,5.1
3,0.005,1,186,3,3,20,4.6
3,0.005,1,186,4,4,24,4.5
3,0.005,1,187,1,1,4,4.3
3,0.005,1,187,2,2,12,4.1
3,0.005,1,187,3,3,20,4.6
3,0.005,1,187,4,4,24,4.5
3,0.005,1,188,1,1,4,4.9
3,0.005,1,188,2,2,12,4.7
3,0.005,1,188,3,3,20,4.5
3,0.005,1,188,4,4,24,5.1
3,0.005,1,189,1,1,4,4.5
3,0.005,1,189,2,2,12,4.2
3,0.005,1,189,3,3,20,4.2
3,0.005,1,189,4,4,24,4.2
3,0.005,1,190,1,1,4,4.3
3,0.005,1,190,2,2,12,4.1
3,0.005,1,190,3,3,20,4.1
3,0.005,1,190,4,4,24,4.0
3,0.005,1,191,1,1,4,4.2
3,0.005,1,191,2,2,12,4.1
3,0.005,1,191,3,3,20,5.1
3,0.005,1,191,4,4,24,4.6
3,0.005,1,192,1,1,4,4.2
3,0.005,1,192,2,2,12,4.0
3,0.005,1,192,3,3,20,4.2
3,0.005,1,192,4,4,24,4.1
3,0.005,1,193,1,1,4,4.9
3,0.005,1,193,2,2,12,4.7
3,0.005,1,193,3,3,20,4.6
3,0.005,1,193,4,4,24,4.4
3,0.005,1,194,1,1,4,4.6
3,0.005,1,194,2,2,12,4.2
3,0.005,1,194,3,3,20,18.1
3,0.005,1,194,4,4,24,4.6
3,0.005,1,195,1,1,4,4.9
3,0.005,1,195,2,2,12,4.3
3,0.005,1,195,3,3,20,4.5
3,0.005,1,195,4,4,24,4.2
3,0.005,1,196,1,1,4,4.5
3,0.005,1,196,2,2,12,4.2
3,0.005,1,196,3,3,20,4.6
3,0.005,1,196,4,4,24,4.5
3,0.005,1,197,1,1,4,4.5
3,0.005,1,197,2,2,12,4.1
3,0.005,1,197,3,3,20,4.2
3,0.005,1,197,4,4,24,4.0
3,0.005,1,198,1,1,4,4.2
3,0.005,1,198,2,2,12,4.2
3,0.005,1,198,3,3,20,4.1
3,0.005,1,198,4,4,24,4.1
3,0.005,1,199,1,1,4,4.4
3,0.005,1,199,2,2,12,4.3
3,0.005,1,199,3,3,20,4.3
3,0.005,1,199,4,4,24,4.3
3,0.005,1,200,1,1,4,4.4
3,0.005,1,200,2,2,12,4.0
3,0.005,1,200,3,3,20,5.4
3,0.005,1,200,4,4,24,5.0
3,0.005,1,201,1,1,4,4.6
3,0.005,1,201,2,2,12,4.9
3,0.005,1,201,3,3,20,4.8
3,0.005,1,201,4,4,24,4.7
3,0.005,1,202,1,1,4,4.4
3,0.005,1,202,2,2,12,4.1
3,0.005,1,202,3,3,20,5.0
3,0.005,1,202,4,4,24,5.1
3,0.005,1,203,1,1,4,4.5
3,0.005,1,203,2,2,12,4.3
3,0.005,1,203,3,3,20,4.8
3,0.005,1,203,4,4,24,4.8
3,0.005,1,204,1,1,4,5.2
3,0.005,1,204,2,2,12,5.0
3,0.005,1,204,3,3,20,5.1
3,0.005,1,204,4,4,24,4.8
3,0.005,1,205,1,1,4,5.1
3,0.005,1,205,2,2,12,4.6
3,0.005,1,205,3,3,20,7.5
3,0.005,1,205,4,4,24,5.7
3,0.005,1,206,1,1,4,4.3
3,0.005,1,206,2,2,12,4.1
3,0.005,1,206,3,3,20,4.3
3,0.005,1,206,4,4,24,4.3
3,0.005,1,207,1,1,4,5.1
3,0.005,1,207,2,2,12,4.1
3,0.005,1,207,3,3,20,4.1
3,0.005,1,207,4,4,24,18.5
3,0.005,1,208,1,1,4,4.6
3,0.005,1,208,2,2,12,5.0
3,0.005,1,208,3,3,20,4.9
3,0.005,1,208,4,4,24,4.8
3,0.005,1,209,1,1,4,4.7
3,0.005,1,209,2,2,12,4.1
3,0.005,1,209,3,3,20,4.5
3,0.005,1,209,4,4,24,4.1
3,0.005,1,210,1,1,4,4.5
3,0.005,1,210,2,2,12,4.3
3,0.005,1,210,3,3,20,4.2
3,0.005,1,210,4,4,24,4.1
3,0.005,1,211,1,1,4,4.6
3,0.005,1,211,2,2,12,4.5
3,0.005,1,211,3,3,20,4.3
3,0.005,1,211,4,4,24,4.4
3,0.005,1,212,1,1,4,5.7
3,0.005,1,212,2,2,12,4.7
3,0.005,1,212,3,3,20,4.5
3,0.005,1,212,4,4,24,4.7
3,0.005,1,213,1,1,4,4.4
3,0.005,1,213,2,2,12,4.3
3,0.005,1,213,3,3,20,4.7
3,0.005,1,213,4,4,24,5.1
3,0.005,1,214,1,1,4,4.5
3,0.005,1,214,2,2,12,4.3
3,0.005,1,214,3,3,20,4.2
3,0.005,1,214,4,4,24,4.9
3,0.005,1,215,1,1,4,4.4
3,0.005,1,215,2,2,12,4.1
3,0.005,1,215,3,3,20,4.2
3,0.005,1,215,4,4,24,4.2
3,0.005,1,216,1,1,4,4.3
3,0.005,1,216,2,2,12,4.2
3,0.005,1,216,3,3,20,4.2
3,0.005,1,216,4,4,24,4.3
3,0.005,1,217,1,1,4,4.4
3,0.005,1,217,2,2,12,4.1
3,0.005,1,217,3,3,20,4.2
