     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,        54,         0,   0.010,pymatching,52787cae6db63455e0db13cc6e8917ad7fc19582b2ab87b3ff059740c6cfbda9,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":3}",
      3345,        34,         0,   0.010,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
      5393,        23,         0,   0.010,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
      4369,        60,         0,   0.010,pymatching,a673a1b9b3eb37348f8c55fb7e83632349d7588f18158971f3b3a266e3a673ee,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":3}",
      3345,       155,         0,   0.009,pymatching,625ff4464ff8cf0bb73bd82eb51b87561695f3c45ec5ee775c0ceba71c9eac6b,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":3}",
     17408,       134,         0,   0.013,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
     12288,       245,         0,   0.014,pymatching,52787cae6db63455e0db13cc6e8917ad7fc19582b2ab87b3ff059740c6cfbda9,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":3}",
      4096,        15,         0,   0.014,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
     14336,       184,         0,   0.013,pymatching,a673a1b9b3eb37348f8c55fb7e83632349d7588f18158971f3b3a266e3a673ee,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":3}",
      3345,       103,         0,   0.011,pymatching,53482c669c80bf308ffb86c5e0d0cfd506f207a2ab5a63d55afb3ad23748ab19,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":3}",
      9216,       394,         0,   0.014,pymatching,625ff4464ff8cf0bb73bd82eb51b87561695f3c45ec5ee775c0ceba71c9eac6b,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":3}",
         1,         0,         0,   0.012,pymatching,06959fcb34dea5373712a5e61d9046a9ac454ab6c476ecf79d22cbad0a54d703,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":3}",
         1,         0,         0,   0.020,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
      8192,       299,         0,   0.014,pymatching,53482c669c80bf308ffb86c5e0d0cfd506f207a2ab5a63d55afb3ad23748ab19,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":3}",
     25600,       187,         0,   0.017,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
     29696,       105,         0,   0.018,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
     15360,       288,         0,   0.019,pymatching,52787cae6db63455e0db13cc6e8917ad7fc19582b2ab87b3ff059740c6cfbda9,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":3}",
     20480,       270,         0,   0.019,pymatching,a673a1b9b3eb37348f8c55fb7e83632349d7588f18158971f3b3a266e3a673ee,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":3}",
      7440,       197,         0,   0.014,pymatching,06959fcb34dea5373712a5e61d9046a9ac454ab6c476ecf79d22cbad0a54d703,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":3}",
      7168,       308,         0,   0.018,pymatching,625ff4464ff8cf0bb73bd82eb51b87561695f3c45ec5ee775c0ceba71c9eac6b,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":3}",
         1,         0,         0,   0.017,pymatching,1f0b6debb2687d8c7fc016386652a3b9514f07615bfebe7fb504b31941fa5b3e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":5}",
      3344,        30,         0,   0.018,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
         1,         0,         0,   0.035,pymatching,7d3cf676ebef7d67d22f079bbb024d619820a9b36d4aeba2571e25c6475beec2,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":5}",
      4096,       184,         0,   0.008,pymatching,625ff4464ff8cf0bb73bd82eb51b87561695f3c45ec5ee775c0ceba71c9eac6b,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":3}",
         1,         0,         0,   0.033,pymatching,dfe4cef6f0191bec5c3a90af8bba4cc7ab8d102e066fe266d7c7c29bdd9372bd,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":5}",
     12288,       459,         0,   0.019,pymatching,53482c669c80bf308ffb86c5e0d0cfd506f207a2ab5a63d55afb3ad23748ab19,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":3}",
         1,         0,         0,   0.036,pymatching,5421e47e40b5a866af7dad35bef44e199e15580f398adce2d348c23b9c0c211e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":5}",
         1,         0,         0,   0.040,pymatching,215fc3df3504d95eec0a39ef7e2458470d9573c35e285fd6eb0c4c12447d0b05,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":5}",
        17,         0,         0,   0.011,pymatching,810db267e7d91bfdafc1a30cdcbcf7fc1238a78024593ba231cf15d61807b958,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":7}",
      4096,       159,         0,   0.005,pymatching,53482c669c80bf308ffb86c5e0d0cfd506f207a2ab5a63d55afb3ad23748ab19,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":3}",
      3344,        27,         0,   0.015,pymatching,7d3cf676ebef7d67d22f079bbb024d619820a9b36d4aeba2571e25c6475beec2,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":5}",
     15360,       424,         0,   0.020,pymatching,06959fcb34dea5373712a5e61d9046a9ac454ab6c476ecf79d22cbad0a54d703,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":3}",
     34816,       250,         0,   0.024,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
     33792,       109,         0,   0.025,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
     19456,       404,         0,   0.026,pymatching,52787cae6db63455e0db13cc6e8917ad7fc19582b2ab87b3ff059740c6cfbda9,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":3}",
      1024,        22,         0,   0.001,pymatching,52787cae6db63455e0db13cc6e8917ad7fc19582b2ab87b3ff059740c6cfbda9,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":3}",
     28672,       336,         0,   0.026,pymatching,a673a1b9b3eb37348f8c55fb7e83632349d7588f18158971f3b3a266e3a673ee,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":3}",
      4096,        31,         0,   0.020,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
      1296,        54,         0,   0.022,pymatching,1f0b6debb2687d8c7fc016386652a3b9514f07615bfebe7fb504b31941fa5b3e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":5}",
       273,         7,         0,   0.013,pymatching,6c8e43be256e1cf874168eed27dfea60bdc99d0ced560e90b2ebee334294c26d,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":7}",
      4368,         2,         0,   0.017,pymatching,5421e47e40b5a866af7dad35bef44e199e15580f398adce2d348c23b9c0c211e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":5}",
      2320,        64,         0,   0.021,pymatching,dfe4cef6f0191bec5c3a90af8bba4cc7ab8d102e066fe266d7c7c29bdd9372bd,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":5}",
         1,         0,         0,   0.035,pymatching,24918450185d1e9c8453971e41f93a14b262c85ccfee8d7fb620d0e0c995f78e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":7}",
      2184,        43,         0,   0.020,pymatching,215fc3df3504d95eec0a39ef7e2458470d9573c35e285fd6eb0c4c12447d0b05,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":5}",
     11264,       169,         0,   0.014,pymatching,a673a1b9b3eb37348f8c55fb7e83632349d7588f18158971f3b3a266e3a673ee,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":3}",
         1,         0,         0,   0.014,pymatching,b08a90a8414aa481066f6c8ac46091933c365f96cae099b0d1c7d0e396ad549b,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":7}",
      4096,        16,         0,   0.022,pymatching,7d3cf676ebef7d67d22f079bbb024d619820a9b36d4aeba2571e25c6475beec2,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":5}",
         1,         0,         0,   0.018,pymatching,b395a9fd9a8f637b062b534b0490e6e1974fa969ebe0fa53e58dfb67772fd236,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":7}",
     14336,       400,         0,   0.025,pymatching,06959fcb34dea5373712a5e61d9046a9ac454ab6c476ecf79d22cbad0a54d703,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":3}",
      2048,        91,         0,   0.024,pymatching,1f0b6debb2687d8c7fc016386652a3b9514f07615bfebe7fb504b31941fa5b3e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":5}",
      1024,        11,         0,   0.025,pymatching,6c8e43be256e1cf874168eed27dfea60bdc99d0ced560e90b2ebee334294c26d,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":7}",
      5120,        10,         0,   0.021,pymatching,5421e47e40b5a866af7dad35bef44e199e15580f398adce2d348c23b9c0c211e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":5}",
      5120,        34,         0,   0.029,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
         1,         0,         0,   0.010,pymatching,c7b75972613e5b900fdfb489425f813afbcfe23ec899a41234d8dae02222d8e5,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":9}",
      1296,         0,         0,   0.015,pymatching,b08a90a8414aa481066f6c8ac46091933c365f96cae099b0d1c7d0e396ad549b,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":7}",
         1,         0,         0,   0.010,pymatching,133d067ab721cd389207b5b2251ee6d284f57bbc6307f09815334cf7809fa703,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":9}",
         1,         0,         0,   0.011,pymatching,91cad48bbd330408f2ba5dbc3d4cdac8471bb9d85fde1ae6c47cc13e5d637eb7,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":9}",
         1,         0,         0,   0.011,pymatching,5d84e63ae58ac8f38a4f71635acf8331f914499fac7161a0b5e56811dcddd0a1,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":9}",
      3072,        86,         0,   0.024,pymatching,dfe4cef6f0191bec5c3a90af8bba4cc7ab8d102e066fe266d7c7c29bdd9372bd,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":5}",
      3072,        56,         0,   0.023,pymatching,215fc3df3504d95eec0a39ef7e2458470d9573c35e285fd6eb0c4c12447d0b05,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":5}",
     43008,       313,         0,   0.034,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
     43008,       155,         0,   0.035,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
      1280,        33,         0,   0.042,pymatching,810db267e7d91bfdafc1a30cdcbcf7fc1238a78024593ba231cf15d61807b958,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":7}",
      9216,        83,         0,   0.007,pymatching,96f00722a0636578e60a367b8dc6286da38a7afc0cab67bb42614e4b14d0f9b0,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":3}",
         1,         0,         0,   0.074,pymatching,f7e3de3b06e5aadce656c492ff4ba2d0b132644351eb98adfb57780e8f8a1c1e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":7}",
      4096,        11,         0,   0.030,pymatching,7d3cf676ebef7d67d22f079bbb024d619820a9b36d4aeba2571e25c6475beec2,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":5}",
       272,         1,         0,   0.018,pymatching,91cad48bbd330408f2ba5dbc3d4cdac8471bb9d85fde1ae6c47cc13e5d637eb7,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":9}",
      1024,        16,         0,   0.023,pymatching,6c8e43be256e1cf874168eed27dfea60bdc99d0ced560e90b2ebee334294c26d,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":7}",
      1296,         9,         0,   0.030,pymatching,b395a9fd9a8f637b062b534b0490e6e1974fa969ebe0fa53e58dfb67772fd236,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":7}",
      1296,        71,         0,   0.045,pymatching,24918450185d1e9c8453971e41f93a14b262c85ccfee8d7fb620d0e0c995f78e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":7}",
       272,         5,         0,   0.026,pymatching,c7b75972613e5b900fdfb489425f813afbcfe23ec899a41234d8dae02222d8e5,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":9}",
      3072,         1,         0,   0.026,pymatching,b08a90a8414aa481066f6c8ac46091933c365f96cae099b0d1c7d0e396ad549b,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":7}",
     10240,        17,         0,   0.027,pymatching,5421e47e40b5a866af7dad35bef44e199e15580f398adce2d348c23b9c0c211e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":5}",
      3072,       129,         0,   0.036,pymatching,1f0b6debb2687d8c7fc016386652a3b9514f07615bfebe7fb504b31941fa5b3e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":5}",
      1160,         3,         0,   0.017,pymatching,f7e3de3b06e5aadce656c492ff4ba2d0b132644351eb98adfb57780e8f8a1c1e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":7}",
      4096,       115,         0,   0.031,pymatching,dfe4cef6f0191bec5c3a90af8bba4cc7ab8d102e066fe266d7c7c29bdd9372bd,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":5}",
      4096,        72,         0,   0.030,pymatching,215fc3df3504d95eec0a39ef7e2458470d9573c35e285fd6eb0c4c12447d0b05,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":5}",
      7168,        65,         0,   0.038,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
       272,        11,         0,   0.042,pymatching,133d067ab721cd389207b5b2251ee6d284f57bbc6307f09815334cf7809fa703,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":9}",
      1297,        71,         0,   0.017,pymatching,28a58d857a9e57c60326960a3896c9ed70d0ee285811ac5659c890f189da2e63,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":5}",
      1296,         1,         0,   0.045,pymatching,5d84e63ae58ac8f38a4f71635acf8331f914499fac7161a0b5e56811dcddd0a1,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":9}",
         1,         0,         0,   0.048,pymatching,ca470c04f47291fdaf50f630e0b7e3f20ce47c7459de027d1a7f5d8a910df65c,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":9}",
      1024,        26,         0,   0.040,pymatching,810db267e7d91bfdafc1a30cdcbcf7fc1238a78024593ba231cf15d61807b958,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":7}",
      3072,         0,         0,   0.028,pymatching,b08a90a8414aa481066f6c8ac46091933c365f96cae099b0d1c7d0e396ad549b,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":7}",
      2048,        11,         0,   0.036,pymatching,b395a9fd9a8f637b062b534b0490e6e1974fa969ebe0fa53e58dfb67772fd236,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":7}",
     68608,       234,         0,   0.046,pymatching,a50d9560ffd2bd1f9a4a0fc72660e9360fcd47e74585eaf96c8e9c50b4551260,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":3}",
      7168,        25,         0,   0.042,pymatching,7d3cf676ebef7d67d22f079bbb024d619820a9b36d4aeba2571e25c6475beec2,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":5}",
      1024,        46,         0,   0.037,pymatching,24918450185d1e9c8453971e41f93a14b262c85ccfee8d7fb620d0e0c995f78e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":7}",
      2048,        28,         0,   0.044,pymatching,6c8e43be256e1cf874168eed27dfea60bdc99d0ced560e90b2ebee334294c26d,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":7}",
      2048,       110,         0,   0.022,pymatching,28a58d857a9e57c60326960a3896c9ed70d0ee285811ac5659c890f189da2e63,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":5}",
      2048,         3,         0,   0.032,pymatching,f7e3de3b06e5aadce656c492ff4ba2d0b132644351eb98adfb57780e8f8a1c1e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":7}",
     14336,        11,         0,   0.037,pymatching,5421e47e40b5a866af7dad35bef44e199e15580f398adce2d348c23b9c0c211e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":5}",
      1160,         0,         0,   0.022,pymatching,ca470c04f47291fdaf50f630e0b7e3f20ce47c7459de027d1a7f5d8a910df65c,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":9}",
      1024,         0,         0,   0.027,pymatching,5d84e63ae58ac8f38a4f71635acf8331f914499fac7161a0b5e56811dcddd0a1,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":9}",
      4369,       234,         0,   0.011,pymatching,a9eb80dd1e5291e59aa71f1222ef0e3da4e8a1c9d9579a54e40a899c46f24111,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.009,""rounds"":3}",
      5120,        82,         0,   0.038,pymatching,215fc3df3504d95eec0a39ef7e2458470d9573c35e285fd6eb0c4c12447d0b05,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":5}",
         1,         0,         0,   0.022,pymatching,27239e2e2b17d04ffe944f09984743883980bb18e6c0b02bf96fe37093e8e0f7,"{""basis"":""x"",""d"":11,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":11}",
      4096,       164,         0,   0.043,pymatching,1f0b6debb2687d8c7fc016386652a3b9514f07615bfebe7fb504b31941fa5b3e,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":5}",
      1024,         2,         0,   0.057,pymatching,91cad48bbd330408f2ba5dbc3d4cdac8471bb9d85fde1ae6c47cc13e5d637eb7,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":9}",
         1,         0,         0,   0.032,pymatching,f3a091660a611f168dd4a4bd065f91cd837106abdaefcac2d7cb8a869adb4d79,"{""basis"":""x"",""d"":11,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":11}",
      1024,        25,         0,   0.031,pymatching,810db267e7d91bfdafc1a30cdcbcf7fc1238a78024593ba231cf15d61807b958,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":7}",
      5120,       129,         0,   0.044,pymatching,dfe4cef6f0191bec5c3a90af8bba4cc7ab8d102e066fe266d7c7c29bdd9372bd,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":5}",
      2048,       139,         0,   0.022,pymatching,28a58d857a9e57c60326960a3896c9ed70d0ee285811ac5659c890f189da2e63,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.008,""rounds"":5}",
      1024,        59,         0,   0.011,pymatching,a9eb80dd1e5291e59aa71f1222ef0e3da4e8a1c9d9579a54e40a899c46f24111,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.009,""rounds"":3}",
      2048,        14,         0,   0.036,pymatching,b395a9fd9a8f637b062b534b0490e6e1974fa969ebe0fa53e58dfb67772fd236,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":7}",
     10240,        92,         0,   0.056,pymatching,da3fa7eaa9dd21dde7346e7831621005daad93f6165097f5bb9cf83959fa77cc,"{""basis"":""x"",""d"":5,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":5}",
      1024,        37,         0,   0.035,pymatching,24918450185d1e9c8453971e41f93a14b262c85ccfee8d7fb620d0e0c995f78e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.007,""rounds"":7}",
      2048,         4,         0,   0.030,pymatching,f7e3de3b06e5aadce656c492ff4ba2d0b132644351eb98adfb57780e8f8a1c1e,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.003,""rounds"":7}",
      5120,         2,         0,   0.044,pymatching,b08a90a8414aa481066f6c8ac46091933c365f96cae099b0d1c7d0e396ad549b,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":7}",
      2048,        20,         0,   0.042,pymatching,6c8e43be256e1cf874168eed27dfea60bdc99d0ced560e90b2ebee334294c26d,"{""basis"":""x"",""d"":7,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":7}",
      1024,        18,         0,   0.082,pymatching,c7b75972613e5b900fdfb489425f813afbcfe23ec899a41234d8dae02222d8e5,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.006,""rounds"":9}",
      2048,         0,         0,   0.037,pymatching,ca470c04f47291fdaf50f630e0b7e3f20ce47c7459de027d1a7f5d8a910df65c,"{""basis"":""x"",""d"":9,""noise_model"":""uniform_circuit_level"",""p"":0.002,""rounds"":9}",
         1,         0,         0,   0.044,pymatching,feb98696aa4ad3a23e46527256fbbb6784603de330dd724864ce9f7de766b036,"{""basis"":""x"",""d"":11,""noise_model"":""uniform_circuit_level"",""p"":0.004,""rounds"":11}",
      9216,       525,         0,   0.020,pymatching,a9eb80dd1e5291e59aa71f1222ef0e3da4e8a1c9d9579a54e40a899c46f24111,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.009,""rounds"":3}",
       272,         2,         0,   0.041,pymatching,f3a091660a611f168dd4a4bd065f91cd837106abdaefcac2d7cb8a869adb4d79,"{""basis"":""x"",""d"":11,""noise_model"":""uniform_circuit_level"",""p"":0.005,""rounds"":11}",
      4096,       232,         0,   0.009,pymatching,a9eb80dd1e5291e59aa71f1222ef0e3da4e8a1c9d9579a54e40a899c46f24111,"{""basis"":""x"",""d"":3,""noise_model"":""uniform_circuit_level"",""p"":0.009,""rounds"":3}",
