sample_id,family,n_qubits,parameter,label,ground_energy,physical_diagnostic,split
0,tfim,4,0.55,-1,-3.524218289753875,0.6381452652711708,transition_sweep
1,tfim,4,0.5725,-1,-3.571242677892867,0.6109910769691125,transition_sweep
2,tfim,4,0.5950000000000001,-1,-3.620236795391703,0.5840069144239635,transition_sweep
3,tfim,4,0.6175,-1,-3.6711391998074854,0.5573609069961863,transition_sweep
4,tfim,4,0.64,-1,-3.723882865900204,0.531203218139321,transition_sweep
5,tfim,4,0.6625000000000001,-1,-3.7783965101687955,0.5056638424515858,transition_sweep
6,tfim,4,0.685,-1,-3.8346058755480774,0.4808515439245702,transition_sweep
7,tfim,4,0.7075,-1,-3.8924349306424824,0.45685380513768253,transition_sweep
8,tfim,4,0.73,-1,-3.951806951034332,0.43373760581432413,transition_sweep
9,tfim,4,0.7525000000000001,-1,-4.012645462917592,0.41155082730244963,transition_sweep
10,tfim,4,0.775,-1,-4.0748750405101735,0.39032408189808904,transition_sweep
11,tfim,4,0.7975000000000001,-1,-4.138421957789267,0.370072785442678,transition_sweep
12,tfim,4,0.8200000000000001,-1,-4.203214701876474,0.3507993211676621,transition_sweep
13,tfim,4,0.8425,-1,-4.26918435997222,0.3324951762493211,transition_sweep
14,tfim,4,0.865,-1,-4.336264894388833,0.31514296545324677,transition_sweep
15,tfim,4,0.8875,-1,-4.404393321335004,0.2987182856970081,transition_sweep
16,tfim,4,0.91,-1,-4.473509809052958,0.28319136985064475,transition_sweep
17,tfim,4,0.9325000000000001,-1,-4.5435577100638325,0.2685285271954506,transition_sweep
18,tfim,4,0.9550000000000001,-1,-4.614483540940542,0.25469337194025177,transition_sweep
19,tfim,4,0.9775,-1,-4.68623692143807,0.2416478507130168,transition_sweep
20,tfim,4,1.0,-1,-4.758770483143637,0.2293530858306571,transition_sweep
21,tfim,4,1.0225,-1,-4.832039756183366,0.2177700542379165,transition_sweep
22,tfim,4,1.045,-1,-4.906003041011979,0.20686012305584667,transition_sweep
23,tfim,4,1.0675,-1,-4.98062127095974,0.1965854623288002,transition_sweep
24,tfim,4,1.09,-1,-5.055857870032568,0.18690935431242706,transition_sweep
25,tfim,4,1.1125,-1,-5.13167860945761,0.17779641688612208,transition_sweep
26,tfim,4,1.135,-1,-5.208051465627627,0.1692127566776846,transition_sweep
27,tfim,4,1.1575,-1,-5.284946481408368,0.16112606544490715,transition_sweep
28,tfim,4,1.1800000000000002,-1,-5.362335632214615,0.15350567129082487,transition_sweep
29,tfim,4,1.2025000000000001,-1,-5.4401926978154975,0.14632255446936465,transition_sweep
30,tfim,4,1.225,-1,-5.518493140478933,0.13954933590358548,transition_sweep
31,tfim,4,1.2475,-1,-5.597213989793423,0.13316024510305274,transition_sweep
32,tfim,4,1.27,-1,-5.676333734298396,0.1271310729278872,transition_sweep
33,tfim,4,1.2925,-1,-5.755832219898879,0.12143911359293619,transition_sweep
34,tfim,4,1.315,-1,-5.8356905549270355,0.11606309941936191,transition_sweep
35,tfim,4,1.3375,-1,-5.915891021632436,0.11098313110371778,transition_sweep
36,tfim,4,1.3599999999999999,-1,-5.996416993828392,0.1061806056666982,transition_sweep
37,tfim,4,1.3825,-1,-6.077252860386415,0.10163814374677477,transition_sweep
38,tfim,4,1.405,-1,-6.158383954251869,0.09733951750065145,transition_sweep
39,tfim,4,1.4275,-1,-6.239796486645153,0.09326958004781577,transition_sweep
40,tfim,4,1.45,-1,-6.321477486113476,0.08941419713693337,transition_sweep
