sample_id,family,n_qubits,parameter,label,ground_energy,physical_diagnostic,split
0,tfim,8,0.55,-1,-7.780922028741273,0.6851492192066513,transition_sweep
1,tfim,8,0.5650000000000001,-1,-7.826200794627676,0.6662604633061594,transition_sweep
2,tfim,8,0.5800000000000001,-1,-7.873001021682745,0.6467085083912699,transition_sweep
3,tfim,8,0.5950000000000001,-1,-7.921353509536423,0.6265104598826425,transition_sweep
4,tfim,8,0.61,-1,-7.97128863005799,0.6056944606241442,transition_sweep
5,tfim,8,0.625,-1,-8.022835693120292,0.5843010456538347,transition_sweep
6,tfim,8,0.64,-1,-8.07602224773451,0.5623841509303331,transition_sweep
7,tfim,8,0.655,-1,-8.130873339511645,0.5400116338061759,transition_sweep
8,tfim,8,0.67,-1,-8.187410752011559,0.5172651783626652,transition_sweep
9,tfim,8,0.685,-1,-8.245652264982624,0.4942394906958627,transition_sweep
10,tfim,8,0.7,-1,-8.305610965881487,0.4710407412245008,transition_sweep
11,tfim,8,0.7150000000000001,-1,-8.367294651611966,0.44778427702499096,transition_sweep
12,tfim,8,0.73,-1,-8.430705354647072,0.42459169994994495,transition_sweep
13,tfim,8,0.745,-1,-8.495839021534325,0.4015874745748893,transition_sweep
14,tfim,8,0.76,-1,-8.562685362695737,0.3788952847297873,transition_sweep
15,tfim,8,0.775,-1,-8.631227881338791,0.3566343862501793,transition_sweep
16,tfim,8,0.79,-1,-8.701444077472273,0.3349162044564177,transition_sweep
17,tfim,8,0.8049999999999999,-1,-8.773305811841423,0.31384139532806293,transition_sweep
18,tfim,8,0.8200000000000001,-1,-8.846779805313469,0.29349753681552637,transition_sweep
19,tfim,8,0.835,-1,-8.921828242749505,0.27395754833603136,transition_sweep
20,tfim,8,0.85,-1,-8.998409447127347,0.2552788663091595,transition_sweep
21,tfim,8,0.865,-1,-9.076478589564397,0.237503337024348,transition_sweep
22,tfim,8,0.88,-1,-9.155988403479,0.2206577387283381,transition_sweep
23,tfim,8,0.895,-1,-9.236889875694946,0.204754809705549,transition_sweep
24,tfim,8,0.9099999999999999,-1,-9.31913289302019,0.1897946454964206,transition_sweep
25,tfim,8,0.925,-1,-9.402666828945817,0.17576632812870502,transition_sweep
26,tfim,8,0.94,-1,-9.487441060976538,0.1626496636350091,transition_sweep
27,tfim,8,0.955,-1,-9.573405414283105,0.15041692389338226,transition_sweep
28,tfim,8,0.97,-1,-9.66051053160098,0.13903451284257273,transition_sweep
29,tfim,8,0.985,-1,-9.748708172510558,0.1284645006439684,transition_sweep
30,tfim,8,1.0,-1,-9.837951447459421,0.11866599044413967,transition_sweep
31,tfim,8,1.015,-1,-9.92819499323652,0.10959630179409768,transition_sweep
32,tfim,8,1.03,-1,-10.01939509725719,0.10121196614808403,transition_sweep
33,tfim,8,1.045,-1,-10.11150977811503,0.09346954311781111,transition_sweep
34,tfim,8,1.06,-1,-10.204498829570616,0.0863262704456256,transition_sweep
35,tfim,8,1.075,-1,-10.298323834612054,0.07974056571694609,transition_sweep
36,tfim,8,1.0899999999999999,-1,-10.392948155539282,0.07367239910388027,transition_sweep
37,tfim,8,1.105,-1,-10.488336905284603,0.06808355669429407,transition_sweep
38,tfim,8,1.12,-1,-10.584456904439326,0.06293781296511852,transition_sweep
39,tfim,8,1.135,-1,-10.681276627745795,0.05820102937207907,transition_sweep
40,tfim,8,1.15,-1,-10.778766143171339,0.05384119411746738,transition_sweep
41,tfim,8,1.165,-1,-10.876897046099726,0.049828416116799876,transition_sweep
42,tfim,8,1.18,-1,-10.975642390677137,0.04613488422823878,transition_sweep
43,tfim,8,1.1949999999999998,-1,-11.074976619920275,0.0427348009047088,transition_sweep
44,tfim,8,1.21,-1,-11.174875495835167,0.039604297794868265,transition_sweep
45,tfim,8,1.225,-1,-11.275316030495352,0.036721339340317224,transition_sweep
46,tfim,8,1.24,-1,-11.376276418786716,0.034065619157410035,transition_sweep
47,tfim,8,1.255,-1,-11.477735973325569,0.0316184529412837,transition_sweep
48,tfim,8,1.27,-1,-11.579675061901401,0.02936267073977958,transition_sweep
49,tfim,8,1.285,-1,-11.682075047668926,0.02728251073739587,transition_sweep
50,tfim,8,1.2999999999999998,-1,-11.784918232217082,0.025363516097831412,transition_sweep
51,tfim,8,1.315,-1,-11.888187801568266,0.023592435954311736,transition_sweep
52,tfim,8,1.33,-1,-11.991867775101941,0.02195713127826261,transition_sweep
53,tfim,8,1.345,-1,-12.095942957356831,0.020446486049720564,transition_sweep
54,tfim,8,1.3599999999999999,-1,-12.200398892632977,0.01905032396596775,transition_sweep
55,tfim,8,1.375,-1,-12.305221822294254,0.01775933073536858,transition_sweep
56,tfim,8,1.39,-1,-12.410398644657302,0.016564981888124226,transition_sweep
57,tfim,8,1.4049999999999998,-1,-12.515916877344027,0.015459475956345997,transition_sweep
58,tfim,8,1.42,-1,-12.621764621969426,0.014435672804291071,transition_sweep
59,tfim,8,1.435,-1,-12.727930531036385,0.013487036852622538,transition_sweep
60,tfim,8,1.45,-1,-12.834403776908728,0.012607584921425549,transition_sweep
