sample_id,family,n_qubits,parameter,label,ground_energy,physical_diagnostic,split
0,xxz,8,0.55,-1,-11.574164841267793,0.22071701814799174,transition_sweep
1,xxz,8,0.5650000000000001,-1,-11.635033705146666,0.22306247292504094,transition_sweep
2,xxz,8,0.5800000000000001,-1,-11.696139862163738,0.22542064137101966,transition_sweep
3,xxz,8,0.5950000000000001,-1,-11.757482278505357,0.22779156905893788,transition_sweep
4,xxz,8,0.61,-1,-11.819059940169021,0.2301752982043193,transition_sweep
5,xxz,8,0.625,-1,-11.880871852455355,0.23257186757380469,transition_sweep
6,xxz,8,0.64,-1,-11.942917039467334,0.23498131239487052,transition_sweep
7,xxz,8,0.655,-1,-12.005194543616112,0.2374036642655115,transition_sweep
8,xxz,8,0.67,-1,-12.067703425135221,0.23983895106447542,transition_sweep
9,xxz,8,0.685,-1,-12.130442761599946,0.24228719686202901,transition_sweep
10,xxz,8,0.7,-1,-12.193411647454365,0.24474842183142234,transition_sweep
11,xxz,8,0.7150000000000001,-1,-12.25660919354342,0.247222642161096,transition_sweep
12,xxz,8,0.73,-1,-12.320034526651575,0.24970986996783637,transition_sweep
13,xxz,8,0.745,-1,-12.38368678904659,0.25221011321081316,transition_sweep
14,xxz,8,0.76,-1,-12.4475651380289,0.2547233756070088,transition_sweep
15,xxz,8,0.775,-1,-12.511668745486066,0.25724965654747584,transition_sweep
16,xxz,8,0.79,-1,-12.575996797452234,0.25978895101532284,transition_sweep
17,xxz,8,0.8049999999999999,-1,-12.640548493672568,0.2623412495049616,transition_sweep
18,xxz,8,0.8200000000000001,-1,-12.70532304717183,0.26490653794304214,transition_sweep
19,xxz,8,0.835,-1,-12.77031968382795,0.26748479761097826,transition_sweep
20,xxz,8,0.85,-1,-12.83553764194967,0.27007600506947843,transition_sweep
21,xxz,8,0.865,-1,-12.9009761718585,0.27268013208485703,transition_sweep
22,xxz,8,0.88,-1,-12.966634535474666,0.2752971455575833,transition_sweep
23,xxz,8,0.895,-1,-13.03251200590736,0.2779270074528914,transition_sweep
24,xxz,8,0.9099999999999999,-1,-13.09860786704827,0.28056967473382644,transition_sweep
25,xxz,8,0.925,-1,-13.1649214131697,0.2832250992966937,transition_sweep
26,xxz,8,0.94,-1,-13.231451948526152,0.2858932279091148,transition_sweep
27,xxz,8,0.955,-1,-13.298198786959079,0.2885740021508047,transition_sweep
28,xxz,8,0.97,-1,-13.365161251506118,0.29126735835716255,transition_sweep
29,xxz,8,0.985,-1,-13.432338674013376,0.29397322756584415,transition_sweep
30,xxz,8,1.0,-1,-13.499730394751575,0.2966915354664343,transition_sweep
31,xxz,8,1.015,-1,-13.567335762035308,0.2994222023533998,transition_sweep
32,xxz,8,1.03,-1,-13.63515413184646,0.3021651430822156,transition_sweep
33,xxz,8,1.045,-1,-13.703184867460289,0.3049202670292099,transition_sweep
34,xxz,8,1.06,-1,-13.771427339076105,0.3076874780548318,transition_sweep
35,xxz,8,1.075,-1,-13.83988092345036,0.3104666744707221,transition_sweep
36,xxz,8,1.0899999999999999,-1,-13.908545003533835,0.3132577490105817,transition_sweep
37,xxz,8,1.105,-1,-13.97741896811254,0.31606058880505167,transition_sweep
38,xxz,8,1.12,-1,-14.046502211451845,0.31887507536063436,transition_sweep
39,xxz,8,1.135,-1,-14.115794132944172,0.3217010845428317,transition_sweep
40,xxz,8,1.15,-1,-14.185294136760845,0.32453848656355383,transition_sweep
41,xxz,8,1.165,-1,-14.255001631507175,0.32738714597297863,transition_sweep
42,xxz,8,1.18,-1,-14.324916029881289,0.33024692165582215,transition_sweep
43,xxz,8,1.1949999999999998,-1,-14.395036748337132,0.3331176668324732,transition_sweep
44,xxz,8,1.21,-1,-14.465363206751348,0.33599922906433327,transition_sweep
45,xxz,8,1.225,-1,-14.535894828093735,0.33889145026455203,transition_sweep
46,xxz,8,1.24,-1,-14.606631038102055,0.34179416671313884,transition_sweep
47,xxz,8,1.255,-1,-14.677571264961035,0.34470720907738217,transition_sweep
48,xxz,8,1.27,-1,-14.748714938985202,0.3476304024367898,transition_sweep
49,xxz,8,1.285,-1,-14.820061492306483,0.3505635663139311,transition_sweep
50,xxz,8,1.2999999999999998,-1,-14.891610358566162,0.3535065147095091,transition_sweep
51,xxz,8,1.315,-1,-14.9633609726107,0.35645905614321094,transition_sweep
52,xxz,8,1.33,-1,-15.035312770193274,0.3594209936995382,transition_sweep
53,xxz,8,1.345,-1,-15.107465187679031,0.36239212507904794,transition_sweep
54,xxz,8,1.3599999999999999,-1,-15.179817661755598,0.36537224265478585,transition_sweep
55,xxz,8,1.375,-1,-15.252369629148754,0.36836113353407646,transition_sweep
56,xxz,8,1.39,-1,-15.325120526342698,0.3713585796256204,transition_sweep
57,xxz,8,1.4049999999999998,-1,-15.398069789305694,0.3743643577118316,transition_sweep
58,xxz,8,1.42,-1,-15.47121685322105,0.3773782395267508,transition_sweep
59,xxz,8,1.435,-1,-15.544561152223535,0.38039999183896084,transition_sweep
60,xxz,8,1.45,-1,-15.618102119141051,0.3834293765397142,transition_sweep
