family,architecture,training_seconds,n_qubits,parameters,depth,two_qubit_operations,output_qubit,accuracy,balanced_accuracy,f1,roc_auc,log_loss
tfim,light_shared_line,30.040077099999507,8,18,47,47,7,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.4285714285714286,0.6931471805375685
tfim,light_shared_ring,34.24514540000018,8,18,49,53,7,0.7692307692307693,0.7738095238095238,0.7692307692307693,0.7142857142857142,0.6931471805568256
tfim,expressive_shared_line,27.473873700000695,8,27,35,36,7,1.0,1.0,1.0,1.0,0.39420327964739593
tfim,light_unshared_line,33.10070429999996,8,54,47,47,7,0.5384615384615384,0.5595238095238095,0.4,0.7380952380952381,0.6931471805103057
xxz,light_shared_line,30.467921499999647,8,18,47,47,7,0.46153846153846156,0.4642857142857143,0.46153846153846156,0.47619047619047616,0.6931471805599372
xxz,light_shared_ring,35.078424299999824,8,18,49,53,7,0.6923076923076923,0.6785714285714286,0.75,0.5952380952380952,0.6931471805599523
xxz,expressive_shared_line,17.514885499999764,8,27,35,36,7,1.0,1.0,1.0,1.0,0.5412992236048257
xxz,light_unshared_line,12.296572900000683,8,54,47,47,7,0.38461538461538464,0.38095238095238093,0.42857142857142855,0.30952380952380953,0.6931471805600895
cluster,light_shared_line,11.49127099999987,8,18,47,47,7,0.46153846153846156,0.44047619047619047,0.5882352941176471,0.15476190476190474,0.6931471805610455
cluster,light_shared_ring,13.222310799999832,8,18,49,53,7,0.46153846153846156,0.45238095238095233,0.5333333333333333,0.28571428571428575,0.693147180562587
cluster,expressive_shared_line,26.384019700000863,8,27,35,36,7,1.0,1.0,1.0,1.0,0.45775405049816054
cluster,light_unshared_line,29.88769030000003,8,54,47,47,7,0.6153846153846154,0.5952380952380952,0.7058823529411765,0.35714285714285715,0.6931471805615529
