epoch,train_loss,validation_loss
0,0.6842724084854126,0.6653366684913635
1,0.6704017519950867,0.6515350937843323
2,0.6549054384231567,0.637812077999115
3,0.6392833590507507,0.622407078742981
4,0.6223315000534058,0.6038042306900024
5,0.6022538542747498,0.581581175327301
6,0.5787019729614258,0.5552545189857483
7,0.551129937171936,0.5249731540679932
8,0.5197358131408691,0.4911327660083771
9,0.48482728004455566,0.4537836015224457
10,0.4461953938007355,0.4136369824409485
11,0.40476110577583313,0.3717501759529114
12,0.3614802360534668,0.3291512429714203
13,0.3174559772014618,0.28675368428230286
14,0.2736392021179199,0.24598108232021332
15,0.23206794261932373,0.2074383795261383
16,0.1932816058397293,0.1717955321073532
17,0.15793924033641815,0.13915379345417023
18,0.1263829469680786,0.10929002612829208
19,0.09864771366119385,0.08305459469556808
20,0.07498955726623535,0.061264194548130035
21,0.05583272501826286,0.04409968852996826
22,0.04067552462220192,0.0311010479927063
23,0.029117519035935402,0.02164498157799244
24,0.020581094548106194,0.01493308786302805
25,0.01438861433416605,0.010258249007165432
26,0.009983393363654613,0.007038569543510675
27,0.006903722882270813,0.004843392875045538
28,0.004775728564709425,0.0033532942179590464
29,0.003315242240205407,0.002345124026760459
30,0.0023196605034172535,0.0016598221845924854
31,0.0016409831587225199,0.0011916614603251219
32,0.0011763157090172172,0.0008698670426383615
33,0.0008563576848246157,0.000645406311377883
34,0.0006336437654681504,0.00048719372716732323
35,0.00047676125541329384,0.0003737420483957976
36,0.00036458898102864623,0.0002908166206907481
37,0.0002829658333212137,0.00022926316887605935
38,0.00022248399909585714,0.00018289723084308207
39,0.00017748276877682656,0.0001478757621953264
40,0.00014340030611492693,0.00012086490460205823
41,0.00011708444071700796,9.981610492104664e-05
42,9.65977887972258e-05,8.321950735989958e-05
43,8.04888186394237e-05,6.990908877924085e-05
44,6.774295616196468e-05,5.9200578107265756e-05
45,5.7507182646077126e-05,5.063288699602708e-05
46,4.9166363169206306e-05,4.318015635362826e-05
47,4.232977516949177e-05,3.7392699596239254e-05
48,3.667369674076326e-05,3.2450738217448816e-05
49,3.208005364285782e-05,2.8324820959824137e-05
50,2.8177064450574107e-05,2.4902261429815553e-05
51,2.4903467419790104e-05,2.19865523831686e-05
52,2.2120255380286835e-05,1.9300328858662397e-05
53,1.9816498024738394e-05,1.726623668218963e-05
54,1.773682379280217e-05,1.535828778287396e-05
55,1.6092581063276157e-05,1.3918851436756086e-05
56,1.4604175703425426e-05,1.250902369065443e-05
57,1.3368983672989998e-05,1.121402056014631e-05
58,1.227797292813193e-05,1.0462161299074069e-05
59,1.1292941053397954e-05,9.554366442898754e-06
60,1.0475020644662436e-05,8.748161235416774e-06
61,9.784930625755806e-06,8.128153240249958e-06
62,9.168424185190815e-06,7.519186965510016e-06
63,8.590248398832045e-06,7.093180101946928e-06
64,8.114133379422128e-06,6.588833912246628e-06
65,7.754621037747711e-06,6.178415787871927e-06
66,7.288877441169461e-06,5.861026693310123e-06
67,6.987492724874755e-06,5.549185061681783e-06
68,6.712787126161857e-06,5.242221504886402e-06
69,6.446568477258552e-06,5.026252438256051e-06
70,6.222188858373556e-06,4.727384293801151e-06
71,6.004115221003303e-06,4.518573405221105e-06
72,5.75736021346529e-06,4.399436875246465e-06
73,5.549401976168156e-06,4.2829492485907394e-06
74,5.4137026381795295e-06,4.168826308159623e-06
75,5.298642463458236e-06,3.7967124626447912e-06
76,5.1867450565623585e-06,3.773262051254278e-06
77,5.0435628509148955e-06,3.751483063751948e-06
78,4.936875939165475e-06,3.6445037494559074e-06
79,4.815790362044936e-06,3.538872306307894e-06
80,4.782417818205431e-06,3.5211460271966644e-06
81,4.7170892685244326e-06,3.4178037822130136e-06
82,4.619570518116234e-06,3.315430603834102e-06
83,4.557778538583079e-06,3.3006290323100984e-06
84,4.497474492382025e-06,3.286613491582102e-06
85,4.4384933062247e-06,3.18660249831737e-06
86,4.397717020765413e-06,3.0872297429596074e-06
87,4.340969553595642e-06,2.9884270134061808e-06
88,4.302200977690518e-06,2.9768414151476463e-06
89,4.230215381539892e-06,2.9657194318133406e-06
90,4.1930338738893624e-06,2.955023774120491e-06
91,4.139509201195324e-06,2.944706011476228e-06
92,4.120642188354395e-06,2.8480387754825642e-06
