sample_id,family,n_qubits,parameter,label,ground_energy,physical_diagnostic,split
0,tfim,8,0.55,-1,-7.780922028741273,0.6851492192066513,transition_sweep
1,tfim,8,0.5650000000000001,-1,-7.826200794627676,0.6662604633061594,transition_sweep
2,tfim,8,0.5800000000000001,-1,-7.873001021682745,0.6467085083912699,transition_sweep
3,tfim,8,0.5950000000000001,-1,-7.921353509536423,0.6265104598826425,transition_sweep
4,tfim,8,0.61,-1,-7.97128863005799,0.6056944606241442,transition_sweep
5,tfim,8,0.625,-1,-8.022835693120292,0.5843010456538347,transition_sweep
6,tfim,8,0.64,-1,-8.07602224773451,0.5623841509303331,transition_sweep
7,tfim,8,0.655,-1,-8.130873339511645,0.5400116338061759,transition_sweep
8,tfim,8,0.67,-1,-8.187410752011559,0.5172651783626652,transition_sweep
9,tfim,8,0.685,-1,-8.245652264982624,0.4942394906958627,transition_sweep
10,tfim,8,0.7,-1,-8.305610965881487,0.4710407412245008,transition_sweep
11,tfim,8,0.7150000000000001,-1,-8.367294651611966,0.4477842770249909,transition_sweep
12,tfim,8,0.73,-1,-8.430705354647072,0.4245916999499449,transition_sweep
13,tfim,8,0.745,-1,-8.495839021534325,0.4015874745748893,transition_sweep
14,tfim,8,0.76,-1,-8.562685362695737,0.3788952847297873,transition_sweep
15,tfim,8,0.775,-1,-8.631227881338791,0.3566343862501793,transition_sweep
16,tfim,8,0.79,-1,-8.701444077472273,0.3349162044564177,transition_sweep
17,tfim,8,0.8049999999999999,-1,-8.773305811841423,0.3138413953280629,transition_sweep
18,tfim,8,0.8200000000000001,-1,-8.846779805313469,0.2934975368155263,transition_sweep
19,tfim,8,0.835,-1,-8.921828242749505,0.2739575483360313,transition_sweep
20,tfim,8,0.85,-1,-8.998409447127347,0.2552788663091595,transition_sweep
21,tfim,8,0.865,-1,-9.076478589564395,0.237503337024348,transition_sweep
22,tfim,8,0.88,-1,-9.155988403479,0.2206577387283381,transition_sweep
23,tfim,8,0.895,-1,-9.236889875694946,0.204754809705549,transition_sweep
24,tfim,8,0.91,-1,-9.31913289302019,0.1897946454964206,transition_sweep
25,tfim,8,0.925,-1,-9.402666828945817,0.175766328128705,transition_sweep
26,tfim,8,0.94,-1,-9.487441060976538,0.1626496636350091,transition_sweep
27,tfim,8,0.955,-1,-9.573405414283105,0.1504169238933822,transition_sweep
28,tfim,8,0.97,-1,-9.66051053160098,0.1390345128425727,transition_sweep
29,tfim,8,0.985,-1,-9.748708172510558,0.1284645006439684,transition_sweep
30,tfim,8,1.0,-1,-9.83795144745942,0.1186659904441396,transition_sweep
31,tfim,8,1.015,-1,-9.92819499323652,0.1095963017940976,transition_sweep
32,tfim,8,1.03,-1,-10.01939509725719,0.101211966148084,transition_sweep
33,tfim,8,1.045,-1,-10.11150977811503,0.0934695431178111,transition_sweep
34,tfim,8,1.06,-1,-10.204498829570616,0.0863262704456256,transition_sweep
35,tfim,8,1.075,-1,-10.298323834612054,0.079740565716946,transition_sweep
36,tfim,8,1.09,-1,-10.392948155539282,0.0736723991038802,transition_sweep
37,tfim,8,1.105,-1,-10.488336905284603,0.068083556694294,transition_sweep
38,tfim,8,1.12,-1,-10.584456904439326,0.0629378129651185,transition_sweep
39,tfim,8,1.135,-1,-10.681276627745795,0.058201029372079,transition_sweep
40,tfim,8,1.15,-1,-10.77876614317134,0.0538411941174673,transition_sweep
41,tfim,8,1.165,-1,-10.876897046099726,0.0498284161167998,transition_sweep
42,tfim,8,1.18,-1,-10.975642390677136,0.0461348842282387,transition_sweep
43,tfim,8,1.1949999999999998,-1,-11.074976619920276,0.0427348009047088,transition_sweep
44,tfim,8,1.21,-1,-11.174875495835169,0.0396042977948682,transition_sweep
45,tfim,8,1.225,-1,-11.275316030495352,0.0367213393403172,transition_sweep
46,tfim,8,1.24,-1,-11.376276418786716,0.03406561915741,transition_sweep
47,tfim,8,1.255,-1,-11.477735973325569,0.0316184529412837,transition_sweep
48,tfim,8,1.27,-1,-11.5796750619014,0.0293626707397795,transition_sweep
49,tfim,8,1.285,-1,-11.682075047668926,0.0272825107373958,transition_sweep
50,tfim,8,1.2999999999999998,-1,-11.784918232217082,0.0253635160978314,transition_sweep
