sample_id,family,hamiltonian_parameter,label,split,seed,n_qubits,parameter,ground_energy,physical_diagnostic,split_type
0,cluster,1.7066505231115023,1,train,151,8,1.7066505231115023,-14.537676472233937,0.2963797749231043,iid
1,cluster,0.6278552746917584,0,train,151,8,0.6278552746917584,-7.390378349266721,0.7417723551663161,iid
2,cluster,1.568157128366299,1,train,151,8,1.568157128366299,-13.508740479772552,0.3229994486808518,iid
3,cluster,1.356241950349681,1,train,151,8,1.356241950349681,-11.965890443114638,0.3742291751771905,iid
4,cluster,1.6087076377431802,1,train,151,8,1.6087076377431802,-13.808586570260044,0.3147282418049877,iid
5,cluster,0.3853140330920491,0,train,151,8,0.3853140330920491,-6.487614585215028,0.9073413989439304,iid
6,cluster,0.582553973520155,0,train,151,8,0.582553973520155,-7.1857909069195705,0.7756603024192744,iid
7,cluster,0.5427420480350735,0,train,151,8,0.5427420480350735,-7.018957532689587,0.805064178108132,iid
8,cluster,1.8072352363635389,1,train,151,8,1.8072352363635389,-15.292639241812871,0.2796237659213332,iid
9,cluster,1.7906561225632398,1,validation,151,8,1.7906561225632398,-15.167812064305046,0.2822546270341412,iid
10,cluster,1.7985311058690612,1,test,151,8,1.7985311058690612,-15.227086109429202,0.2809988631340371,iid
11,cluster,1.4367040939868088,1,train,151,8,1.4367040939868088,-12.5463561265585,0.35301743142869,iid
12,cluster,0.1719198464948141,0,test,151,8,0.1719198464948141,-6.090582991005658,0.9842829361345528,iid
13,cluster,1.710645430080009,1,train,151,8,1.710645430080009,-14.567548456853364,0.2956763091488872,iid
14,cluster,0.1698224184602556,0,train,151,8,0.1698224184602556,-6.088342203959416,0.9846852419002822,iid
15,cluster,0.6797728585714287,0,validation,151,8,0.6797728585714287,-7.642800451767455,0.7032580327194443,iid
16,cluster,0.460330097232873,0,train,151,8,0.460330097232873,-6.714666587183597,0.8623924340340334,iid
17,cluster,0.5929799949767334,0,train,151,8,0.5929799949767334,-7.231518550776593,0.7678764290816638,iid
18,cluster,0.4611834755296654,0,train,151,8,0.4611834755296654,-6.717525175423249,0.8618351750940635,iid
19,cluster,0.5745011136776691,0,test,151,8,0.5745011136776691,-7.151042385133486,0.7816554029537143,iid
20,cluster,1.603749397655762,1,test,151,8,1.603749397655762,-13.771856098864175,0.3157170712746531,iid
21,cluster,0.2649908499462979,0,train,151,8,0.2649908499462979,-6.2210234954779295,0.9599708623444162,iid
22,cluster,1.6723515661959656,1,train,151,8,1.6723515661959656,-14.281620389637729,0.3025590209845334,iid
23,cluster,0.449808787805848,0,validation,151,8,0.449808787805848,-6.67993225304833,0.869185945393394,iid
24,cluster,0.2882668175043755,0,train,151,8,0.2882668175043755,-6.263601506666517,0.951740627984746,iid
25,cluster,0.3985373896388708,0,test,151,8,0.3985373896388708,-6.524165964449937,0.9000446969194608,iid
26,cluster,0.4280128993723802,0,train,151,8,0.4280128993723802,-6.610978340316136,0.88278039157003,iid
27,cluster,1.5816612616926315,1,test,151,8,1.5816612616926315,-13.60845393868533,0.320197739595927,iid
28,cluster,0.42005805139776,0,train,151,8,0.42005805139776,-6.586821113682334,0.8875711600039059,iid
29,cluster,1.6639874233870708,1,train,151,8,1.6639874233870708,-14.21929447351534,0.3041048405285313,iid
30,cluster,1.474009652860608,1,validation,151,8,1.474009652860608,-12.817842528570944,0.3439574939213731,iid
31,cluster,1.5186042313032344,1,train,151,8,1.5186042313032344,-13.144126475454952,0.3337073069153542,iid
32,cluster,0.1906666715002539,0,train,151,8,0.1906666715002539,-6.111937516858488,0.980419067325754,iid
33,cluster,1.832514063159626,1,validation,151,8,1.832514063159626,-15.483242988683056,0.2757051207574294,iid
34,cluster,1.320185695436682,1,train,151,8,1.320185695436682,-11.708290135748069,0.3845532528119293,iid
35,cluster,0.4756916228792754,0,validation,151,8,0.4756916228792754,-6.767069833979516,0.8522249658724302,iid
36,cluster,1.7569698508252287,1,train,151,8,1.7569698508252287,-14.914640845120667,0.2877548754378343,iid
37,cluster,1.4822284388564335,1,validation,151,8,1.4822284388564335,-12.87783761816803,0.342022279387199,iid
38,cluster,0.4196610714489084,0,train,151,8,0.4196610714489084,-6.585629691966676,0.8878077514144286,iid
39,cluster,1.647250550348674,1,test,151,8,1.647250550348674,-14.094720065151089,0.3072455410132008,iid
40,cluster,1.370926024296482,1,train,151,8,1.370926024296482,-12.071266403406383,0.3701761087046728,iid
41,cluster,1.4686604569968058,1,train,151,8,1.4686604569968058,-12.778829638748087,0.3452285782454323,iid
42,cluster,0.4771108124152247,0,train,151,8,0.4771108124152247,-6.772012102622708,0.8512715387191377,iid
43,cluster,1.8120536678838255,1,train,151,8,1.8120536678838255,-15.32894517840818,0.2788682891007858,iid
44,cluster,1.712987305574877,1,train,151,8,1.712987305574877,-14.585064447045152,0.2952654663606097,iid
45,cluster,1.3723522399447947,1,train,151,8,1.3723522399447947,-12.08151508791078,0.3697869602971284,iid
46,cluster,1.7024759496177002,1,train,151,8,1.7024759496177002,-14.506471610731868,0.2971184379823012,iid
47,cluster,0.4148485090600682,0,train,151,8,0.4148485090600682,-6.571292896074671,0.890656833070831,iid
48,cluster,0.6440007579648397,0,train,151,8,0.6440007579648397,-7.466897471111095,0.7297170442578552,iid
49,cluster,0.3030023995862738,0,train,151,8,0.3030023995862738,-6.292725937996379,0.9460528116706802,iid
50,cluster,1.389134007029934,1,validation,151,8,1.389134007029934,-12.202287764827894,0.3652667241856146,iid
51,cluster,0.574063740896686,0,test,151,8,0.574063740896686,-7.149169463025789,0.7819804902557421,iid
52,cluster,0.2491092304685053,0,train,151,8,0.2491092304685053,-6.1943304829867625,0.9650687678949018,iid
53,cluster,1.7498157838823054,1,test,151,8,1.7498157838823054,-14.860955819333626,0.2889505500769466,iid
54,cluster,1.5963943894303454,1,train,151,8,1.5963943894303454,-13.71740439386858,0.3171952498346376,iid
55,cluster,1.652839398286293,1,train,151,8,1.652839398286293,-14.13629726120062,0.3061896630066754,iid
56,cluster,1.456256723542861,1,validation,151,8,1.456256723542861,-12.688474205104995,0.3482116010861782,iid
57,cluster,0.5131694199370518,0,train,151,8,0.5131694199370518,-6.903267679985228,0.8263412542235175,iid
58,cluster,1.5021743957028355,1,test,151,8,1.5021743957028355,-13.023702320127796,0.3374132837876649,iid
59,cluster,0.4085116598657042,0,train,151,8,0.4085116598657042,-6.552715743851821,0.8943538035957421,iid
60,cluster,0.205419343227828,0,train,151,8,0.205419343227828,-6.1304441427327765,0.9770289933512556,iid
61,cluster,0.5850555936632695,0,train,151,8,0.5850555936632695,-7.19668715844493,0.7737946149248986,iid
62,cluster,0.5248771500718905,0,train,151,8,0.5248771500718905,-6.948212867582873,0.8179929072973958,iid
63,cluster,0.1794535045321252,0,validation,151,8,0.1794535045321252,-6.098876748617217,0.9827886184945842,iid
64,cluster,0.6496524105322995,0,test,151,8,0.6496524105322995,-7.494112989821206,0.7255098383601348,iid
65,cluster,0.2728206179839341,0,train,151,8,0.2728206179839341,-6.234883242618474,0.95730416200412,iid
66,cluster,0.6932732759831587,0,test,151,8,0.6932732759831587,-7.711370921838105,0.69340552605161,iid
67,cluster,1.4025521202763898,1,train,151,8,1.4025521202763898,-12.299086882184852,0.3617288026372467,iid
68,cluster,1.421597727825366,1,train,151,8,1.421597727825366,-12.436827200596108,0.3568198407862593,iid
69,cluster,0.326133816793016,0,train,151,8,0.326133816793016,-6.341911928691583,0.936364296429068,iid
