family,seed,iid_train,iid_val,iid_test,block_train,block_val,block_test,critical_train,critical_val,critical_test
tfim,11,98,21,22,40,34,67,96,18,27
tfim,23,98,21,22,40,34,67,96,18,27
tfim,37,98,21,22,40,34,67,96,18,27
tfim,51,98,21,22,40,34,67,96,18,27
tfim,71,98,21,22,40,34,67,96,18,27
tfim,89,98,21,22,40,34,67,96,18,27
tfim,101,98,21,22,40,34,67,96,18,27
tfim,131,98,21,22,40,34,67,96,18,27
tfim,151,98,21,22,40,34,67,96,18,27
tfim,181,98,21,22,40,34,67,96,18,27
xxz,11,98,21,22,38,22,81,91,17,33
xxz,23,98,21,22,38,22,81,91,17,33
xxz,37,98,21,22,38,22,81,91,17,33
xxz,51,98,21,22,38,22,81,91,17,33
xxz,71,98,21,22,38,22,81,91,17,33
xxz,89,98,21,22,38,22,81,91,17,33
xxz,101,98,21,22,38,22,81,91,17,33
xxz,131,98,21,22,38,22,81,91,17,33
xxz,151,98,21,22,38,22,81,91,17,33
xxz,181,98,21,22,38,22,81,91,17,33
cluster,11,98,21,22,44,22,75,96,18,27
cluster,23,98,21,22,44,22,75,96,18,27
cluster,37,98,21,22,44,22,75,96,18,27
cluster,51,98,21,22,44,22,75,96,18,27
cluster,71,98,21,22,44,22,75,96,18,27
cluster,89,98,21,22,44,22,75,96,18,27
cluster,101,98,21,22,44,22,75,96,18,27
cluster,131,98,21,22,44,22,75,96,18,27
cluster,151,98,21,22,44,22,75,96,18,27
cluster,181,98,21,22,44,22,75,96,18,27
