sample_id,family,hamiltonian_parameter,label,split,seed,n_qubits,parameter,ground_energy,physical_diagnostic,split_type
0,tfim,1.365035269210734,1,train,101,8,1.365035269210734,-12.235546080966136,0.0186056698780671,critical_holdout
1,tfim,0.5835994249351122,0,train,101,8,0.5835994249351122,-7.884461058043408,0.6419198017071948,critical_holdout
2,tfim,1.4369055856856758,1,train,101,8,1.4369055856856758,-12.74143996874282,0.0133715947200775,critical_holdout
3,tfim,0.6875639556301347,0,train,101,8,0.6875639556301347,-8.255779068651444,0.490283293761913,critical_holdout
4,tfim,0.6385510015330038,0,train,101,8,0.6385510015330038,-8.07081217840788,0.5645223900231012,critical_holdout
5,tfim,0.3250348123569433,0,train,101,8,0.3250348123569433,-7.266390944026101,0.8940523878642428,critical_holdout
6,tfim,1.405310489083815,1,train,101,8,1.405310489083815,-12.518104548938854,0.0154374794167457,critical_holdout
7,tfim,0.5004023049952941,0,train,101,8,0.5004023049952941,-7.641658434908814,0.7428410145105937,critical_holdout
8,tfim,1.4034869158975716,1,train,101,8,1.4034869158975716,-12.505257876894232,0.0155671718905832,critical_holdout
9,tfim,0.3365351430462641,0,train,101,8,0.3365351430462641,-7.285774377839093,0.8863539677168009,critical_holdout
10,tfim,0.7157201273222664,0,validation,101,8,0.7157201273222664,-8.370299446350996,0.4466683883919431,critical_holdout
11,tfim,1.4174136129707744,1,train,101,8,1.4174136129707744,-12.60349072984177,0.0146066649677322,critical_holdout
12,tfim,1.6627922325654845,1,train,101,8,1.6627922325654845,-14.372728469962968,0.0051223342136199,critical_holdout
13,tfim,1.2874482292183702,1,train,101,8,1.2874482292183702,-11.698830817463046,0.0269586608329522,critical_holdout
14,tfim,1.5155188760396237,1,train,101,8,1.5155188760396237,-13.30282618858859,0.0094502048954096,critical_holdout
15,tfim,1.3326112875844855,1,train,101,8,1.3326112875844855,-12.009957794939831,0.0216854855015492,critical_holdout
16,tfim,1.5453325820677846,1,train,101,8,1.5453325820677846,-13.517644355552711,0.0083159302914962,critical_holdout
17,tfim,0.5700158242080418,0,train,101,8,0.5700158242080418,-7.841679397249752,0.6597956879797668,critical_holdout
18,tfim,1.6157714078697416,1,validation,101,8,1.6157714078697416,-14.028863291741493,0.0061966114869726,critical_holdout
19,tfim,0.5308916829315422,0,train,101,8,0.5308916829315422,-7.725397131961384,0.7082396516274408,critical_holdout
20,tfim,1.4454955639693574,1,train,101,8,1.4454955639693574,-12.802398651198809,0.0128647475693458,critical_holdout
21,tfim,0.3505752503694931,0,validation,101,8,0.3505752503694931,-7.310397264598862,0.8765665918938457,critical_holdout
22,tfim,0.5292124075157023,0,train,101,8,0.5292124075157023,-7.720631069463816,0.7102168152185258,critical_holdout
23,tfim,1.5108832134334496,1,train,101,8,1.5108832134334496,-13.269514186337831,0.0096417355586303,critical_holdout
24,tfim,0.7125935986247909,0,validation,101,8,0.7125935986247909,-8.35728261317059,0.4515141541331947,critical_holdout
25,tfim,1.2527622835444223,1,train,101,8,1.2527622835444223,-11.462569227198912,0.0319709770113217,critical_holdout
26,tfim,0.711135790866424,0,train,101,8,0.711135790866424,-8.35123890614003,0.4537743098892396,critical_holdout
27,tfim,0.3742170868403641,0,validation,101,8,0.3742170868403641,-7.354263923483971,0.85909922844261,critical_holdout
28,tfim,0.3027038020820424,0,train,101,8,0.3027038020820424,-7.230756135346984,0.9081958605676042,critical_holdout
29,tfim,0.306311914109222,0,train,101,8,0.306311914109222,-7.236335515546317,0.9059819375233302,critical_holdout
30,tfim,1.5225968281701725,1,train,101,8,1.5225968281701725,-13.353735807147508,0.0091659580972511,critical_holdout
