family,budget,n_test,n_sampling_seeds,n_physical_settings,qcnn_ba_mean,qcnn_ba_std,classical_ba_mean,classical_ba_std
tfim,128,22,20,2,0.9568181818181818,0.027491150855877257,0.9522727272727272,0.017910657401191202
tfim,256,22,20,2,0.9613636363636362,0.016652161296932862,0.9545454545454544,2.278129578503827e-16
tfim,512,22,20,2,0.9545454545454544,2.278129578503827e-16,0.9545454545454544,2.278129578503827e-16
tfim,1024,22,20,2,0.9545454545454544,2.278129578503827e-16,0.9545454545454544,2.278129578503827e-16
tfim,2048,22,20,2,0.9545454545454544,2.278129578503827e-16,0.9545454545454544,2.278129578503827e-16
tfim,4096,22,20,2,0.9545454545454544,2.278129578503827e-16,0.9545454545454544,2.278129578503827e-16
xxz,128,22,20,2,0.8931818181818182,0.049519219602573016,0.9159090909090908,0.05373197220357358
xxz,256,22,20,2,0.890909090909091,0.03730830371218745,0.9522727272727274,0.03450702975073855
xxz,512,22,20,2,0.8931818181818182,0.03387090092593614,0.9545454545454545,0.02554324940677347
xxz,1024,22,20,2,0.8931818181818183,0.030491836056815335,0.9659090909090908,0.025005436555462758
xxz,2048,22,20,2,0.8840909090909091,0.023200808433365507,0.9613636363636362,0.02668831584601817
xxz,4096,22,20,2,0.8840909090909091,0.02749115085587727,0.9613636363636362,0.02668831584601817
cluster,128,22,20,2,0.8704545454545455,0.05373197220357361,0.9522727272727272,0.010163945352271787
cluster,256,22,20,2,0.9000000000000001,0.03788676152120415,0.9545454545454544,2.278129578503827e-16
cluster,512,22,20,2,0.8818181818181821,0.045214678104985494,0.9545454545454544,2.278129578503827e-16
cluster,1024,22,20,2,0.8977272727272728,0.041384794000014845,0.9545454545454544,2.278129578503827e-16
cluster,2048,22,20,2,0.9022727272727276,0.03694216822214771,0.9545454545454544,2.278129578503827e-16
cluster,4096,22,20,2,0.9068181818181819,0.02749115085587726,0.9545454545454544,2.278129578503827e-16
