family,delta,parameter,nominal_label,order_parameter,spectral_gap,fidelity_to_unperturbed,qcnn_probability,predicted_label
tfim,0.0,0.6875639556301347,0,0.4902832937551992,0.05317397811214519,0.9999999999999996,0.40282792478817386,0
tfim,0.0,0.5004023049952941,0,0.7428410145140675,0.005894556529216999,1.0000000000000004,0.28809800925700124,0
tfim,0.0,0.3742170868403641,0,0.859099228442598,0.0006614520736336615,0.9999999999999998,0.22664862709165912,0
tfim,0.0,0.5290698144729544,0,0.7103843164783847,0.008843159514539067,1.0000000000000009,0.3041848973951302,0
tfim,0.0,1.3480646946648531,1,0.02015224237754705,0.9513266024960139,1.0,0.5872216046400034,1
tfim,0.0,1.5892559374910094,1,0.006913346723350349,1.3995535823828664,1.0000000000000009,0.595543572308762,1
tfim,0.0,1.39236936925361,1,0.016384640861599863,1.0321139175958667,1.0,0.5893345604060951,1
tfim,0.0,0.7179915758984654,0,0.44314973243935074,0.06963568194645298,1.0000000000000013,0.4220576222925954,0
tfim,0.0,0.2527438645767617,0,0.9360770437484212,3.1175020288820576e-05,1.0000000000000004,0.18261657305589896,0
tfim,0.0,1.7468997037445315,1,0.0036853876278817223,1.7003406041641078,1.0000000000000009,0.5983312234657422,1
tfim,0.0,0.2879425805912761,0,0.9169700506205235,8.667396428752028e-05,0.9999999999999996,0.19380145720645603,0
tfim,0.0,0.2448770132482144,0,0.9400012246311894,2.4308507312831296e-05,1.0,0.1802966811166277,0
tfim,0.0,1.58993119727495,1,0.006893972425836687,1.4008319299211411,1.0000000000000004,0.5955585893160954,1
tfim,0.0,1.4984782891111184,1,0.010176072901514484,1.2287015445697698,1.0,0.593193260404342,1
tfim,0.0,1.5957324992548232,1,0.006730021981631616,1.4118185870871454,1.0000000000000009,0.5956862922464015,1
tfim,0.0,0.61,0,0.6056944606070344,0.02411594322562749,1.0000000000000004,0.3531713927779976,0
tfim,0.0,0.67,0,0.5172651783620955,0.0450542321648566,1.0000000000000009,0.3915676559965138,0
tfim,0.0,0.97,0,0.13903451284085544,0.3265360556020216,1.0000000000000009,0.5378159622214846,1
tfim,0.0,1.06,1,0.08632627044599113,0.4592763542450218,1.0000000000000009,0.5580595828045052,1
tfim,0.0,1.075,1,0.07974056571760982,0.4827514297671254,1.0000000000000004,0.5606788938426353,1
tfim,0.02,0.6875639556301347,0,0.48472192363896804,0.05572037502510696,0.9999088509823182,0.4053248785758892,0
tfim,0.02,0.5004023049952941,0,0.7353983453046395,0.0060114213545015005,0.9999457220773239,0.2900579565747717,0
tfim,0.02,0.3742170868403641,0,0.8631321702324007,0.0006048924747545925,0.9999544446883568,0.2243152031245295,0
tfim,0.02,0.5290698144729544,0,0.7151035175926337,0.008437073097678827,0.9999656288737147,0.30242036610047984,0
tfim,0.02,1.3480646946648531,1,0.019520575054232527,0.9576106996610925,0.9999792517080782,0.5872071917187897,1
tfim,0.02,1.5892559374910094,1,0.007375811804505573,1.388345797738035,0.9999636757161271,0.5953264512508059,1
tfim,0.02,1.39236936925361,1,0.01636354478793477,1.0315239515820416,0.9999716950425391,0.5897025017826988,1
tfim,0.02,0.7179915758984654,0,0.45111263149707853,0.06616567918651306,0.999859385574526,0.41890603780596264,0
tfim,0.02,0.2527438645767617,0,0.9368436716639882,3.07278608442374e-05,0.9999812051713621,0.18223209417813926,0
tfim,0.02,1.7468997037445315,1,0.003500558855191369,1.7296714698785784,0.9999721726217051,0.5982043720384161,1
tfim,0.02,0.2879425805912761,0,0.9173630208157673,8.856949946878245e-05,0.9999787177449229,0.19350449797215516,0
tfim,0.02,0.2448770132482144,0,0.9415262652432163,2.3970703264097892e-05,0.9999925569551806,0.17955893246166063,0
