family,parameter,true_phase,predicted_probability,predicted_label,distance_from_hc,physical_diagnostic
xxz,0.75,0,0.4979094991145361,0,0.25,0.2530464207105715
xxz,0.7625,0,0.49961681944973024,0,0.23750000000000004,0.25514351844532696
xxz,0.775,0,0.5013279993734164,1,0.22499999999999998,0.25724965654746695
xxz,0.7875,0,0.5030429720322518,1,0.21250000000000002,0.25936483190078036
xxz,0.8,0,0.5047616696818256,1,0.19999999999999996,0.2614890392243247
xxz,0.8125,0,0.5064840236788426,1,0.1875,0.2636222710406035
xxz,0.825,0,0.5082099644736894,1,0.17500000000000004,0.26576451764424286
xxz,0.8375,0,0.5099394216035051,1,0.16249999999999998,0.2679157670713576
xxz,0.85,0,0.5116723236855051,1,0.15000000000000002,0.2700760050694756
xxz,0.8625,0,0.5134085984109265,1,0.13749999999999996,0.27224521506814603
xxz,0.875,0,0.5151481725393241,1,0.125,0.27442337815027573
xxz,0.8875,0,0.5168909718934186,1,0.11250000000000004,0.27661047302421116
xxz,0.9,0,0.5186369213543965,1,0.09999999999999998,0.27880647599654457
xxz,0.9125,0,0.5203859448578146,1,0.08750000000000002,0.28101136094573703
xxz,0.925,0,0.5221379653899686,1,0.07499999999999996,0.28322509929668765
xxz,0.9375,0,0.5238929049848889,1,0.0625,0.28544765999601474
xxz,0.95,0,0.5256506847218868,1,0.050000000000000044,0.28767900948839625
xxz,0.9625,0,0.5274112247237484,1,0.03749999999999998,0.28991911169377876
xxz,0.975,0,0.5291744441554873,1,0.025000000000000022,0.2921679279856061
xxz,0.9875,0,0.5309402612238131,1,0.012499999999999956,0.294425417170081
xxz,1.0,1,0.5327085931747935,1,0.0,0.29669153547011434
xxz,1.0125,1,0.5344793563067086,1,0.012499999999999956,0.29896623648840476
xxz,1.025,1,0.5362524659473344,1,0.02499999999999991,0.30124947122663215
xxz,1.0375,1,0.5380278364803435,1,0.03750000000000009,0.3035411880324807
xxz,1.05,1,0.5398053813360577,1,0.050000000000000044,0.3058413326028573
xxz,1.0625,1,0.5415850129975628,1,0.0625,0.30814984796637884
xxz,1.075,1,0.5433666430050824,1,0.07499999999999996,0.3104666744707211
xxz,1.0875,1,0.5451501819611843,1,0.08749999999999991,0.31279174977135515
xxz,1.1,1,0.5469355395367,1,0.10000000000000009,0.31512500882153416
xxz,1.1125,1,0.5487226244775394,1,0.11250000000000004,0.3174663838637296
xxz,1.125,1,0.5505113446122261,1,0.125,0.3198158044223825
xxz,1.1375,1,0.5523016068602729,1,0.13749999999999996,0.32217319729815236
xxz,1.15,1,0.554093317241421,1,0.1499999999999999,0.32453848656355727
xxz,1.1625,1,0.5558863808857276,1,0.1625000000000001,0.3269115935601919
xxz,1.175,1,0.5576807020444207,1,0.17500000000000004,0.3292924368973646
xxz,1.1875,1,0.5594761841016949,1,0.1875,0.3316809324523133
xxz,1.2,1,0.5612727295873666,1,0.19999999999999996,0.33407699337205976
xxz,1.2125,1,0.5630702401902797,1,0.2124999999999999,0.33648053007670453
xxz,1.225,1,0.5648686167728088,1,0.2250000000000001,0.33889145026452877
xxz,1.2375,1,0.5666677593860421,1,0.23750000000000004,0.34130965891857257
xxz,1.25,1,0.5684675672858284,1,0.25,0.3437350583148816
