experiment,profile,depolarizing_2q,training,ece,accuracy,balanced_accuracy,f1,roc_auc,log_loss
unseen_profile,unseen_phase_heavy,0.01,ideal,0.043945312500000014,0.5384615384615384,0.5476190476190476,0.5,0.44047619047619047,0.6995428768552857
unseen_profile,unseen_phase_heavy,0.01,noise_aware,0.053185096153846145,0.46153846153846156,0.5,0.0,0.3571428571428571,0.7016553109798479
unseen_profile,unseen_readout_heavy,0.01,ideal,0.04852764423076927,0.46153846153846156,0.47619047619047616,0.36363636363636365,0.3571428571428571,0.7003424496138362
unseen_profile,unseen_readout_heavy,0.01,noise_aware,0.048677884615384616,0.5384615384615384,0.5595238095238095,0.4,0.40476190476190477,0.6974572070446817
depolarizing_sweep,depol2_0.0,0.0,ideal,0.037710336538461536,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.5476190476190477,0.6883907150703152
depolarizing_sweep,depol2_0.0,0.0,noise_aware,0.037710336538461536,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.5476190476190477,0.6883907150703152
depolarizing_sweep,depol2_0.005,0.005,ideal,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.005,0.005,noise_aware,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.01,0.01,ideal,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.01,0.01,noise_aware,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.02,0.02,ideal,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.02,0.02,noise_aware,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.04,0.04,ideal,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.04,0.04,noise_aware,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.08,0.08,ideal,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
depolarizing_sweep,depol2_0.08,0.08,noise_aware,0.12710336538461536,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.7059063457978152
