family,split_type,bin,accuracy,confidence,count
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1702577498474915,4
tfim,iid,2,0.0,0.26452496222716476,2
tfim,iid,3,0.0,0.3561298227611297,4
tfim,iid,4,,0.45,0
tfim,iid,5,0.9166666666666666,0.5694753692057585,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1571810662115972,3
tfim,iid,2,0.0,0.254375148153823,3
tfim,iid,3,0.0,0.36553476212377284,3
tfim,iid,4,0.0,0.4044626995135431,1
tfim,iid,5,0.9166666666666666,0.5656843034143401,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,0.0,0.09802629759879175,1
tfim,iid,1,0.0,0.12523976782409593,3
tfim,iid,2,0.0,0.24557469229148104,2
tfim,iid,3,0.0,0.3517598636230234,3
tfim,iid,4,0.0,0.4002282124856274,1
tfim,iid,5,0.75,0.5699813507895075,4
tfim,iid,6,1.0,0.6091522960853,8
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,0.0,0.08488526737680549,2
tfim,iid,1,0.0,0.12240584183983466,2
tfim,iid,2,0.0,0.25190191759342623,3
tfim,iid,3,0.0,0.3604653325165316,3
tfim,iid,4,,0.45,0
tfim,iid,5,0.9166666666666666,0.5782758806313518,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.15959215138628968,4
tfim,iid,2,0.0,0.28345692543020806,2
tfim,iid,3,0.0,0.3712972807380128,2
tfim,iid,4,0.0,0.4170686710408039,2
tfim,iid,5,0.6666666666666666,0.5833136144560278,3
tfim,iid,6,1.0,0.6393026360755526,9
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1769450555207685,1
tfim,iid,2,0.0,0.2513114417897093,3
tfim,iid,3,0.0,0.3628817971694669,6
tfim,iid,4,0.0,0.42399254408652326,1
tfim,iid,5,1.0,0.568042042686291,11
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1944994779502173,1
tfim,iid,2,0.0,0.2726088855910025,3
tfim,iid,3,0.0,0.38499117882438566,6
tfim,iid,4,0.0,0.4439278117244034,1
tfim,iid,5,1.0,0.5722112621172258,11
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1695501182328463,1
tfim,iid,2,0.0,0.25692492283634977,3
tfim,iid,3,0.0,0.3813424867528455,5
tfim,iid,4,0.0,0.4257162821262255,2
tfim,iid,5,1.0,0.5907633863147517,10
tfim,iid,6,1.0,0.6004274309235539,1
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.17191115013903852,2
tfim,iid,2,0.0,0.26727480991623204,2
tfim,iid,3,0.0,0.3709655316922864,6
tfim,iid,4,0.0,0.43940444773028553,1
tfim,iid,5,1.0,0.5855807245349717,11
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,,0.15000000000000002,0
tfim,iid,2,0.0,0.24665364134278855,2
tfim,iid,3,0.0,0.33353382589123914,2
tfim,iid,4,0.0,0.4411657367461396,7
tfim,iid,5,,0.55,0
tfim,iid,6,1.0,0.6763511699714373,11
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,,0.15000000000000002,0
tfim,iid,2,0.0,0.2550601538014485,2
tfim,iid,3,0.0,0.3169245038100063,3
tfim,iid,4,0.0,0.4236208649210145,3
tfim,iid,5,0.5714285714285714,0.5538770384428559,7
tfim,iid,6,1.0,0.6098230084283003,7
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.14766556135719003,1
tfim,iid,2,0.0,0.2756435585996554,4
tfim,iid,3,0.0,0.37533458951288523,1
tfim,iid,4,0.0,0.44920640155811487,4
tfim,iid,5,0.9166666666666666,0.5554214394521663,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.15452072814770798,1
tfim,iid,2,0.0,0.2810807877014518,3
tfim,iid,3,0.0,0.34841338511259534,2
tfim,iid,4,0.0,0.4272037270967006,2
tfim,iid,5,0.7857142857142857,0.5638155226910586,14
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.12294878542907849,1
tfim,iid,2,0.0,0.2665967749708917,4
tfim,iid,3,0.0,0.3772292041783018,1
tfim,iid,4,0.0,0.4427343560097728,3
tfim,iid,5,0.8461538461538461,0.5654924497425499,13
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.19179208358516764,1
tfim,iid,2,0.0,0.28939923971421694,2
tfim,iid,3,0.0,0.31765431766575924,2
tfim,iid,4,0.0,0.42716670730638945,3
tfim,iid,5,0.4,0.5599079148523353,5
tfim,iid,6,1.0,0.6405822099948367,9
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,,0.15000000000000002,0
tfim,iid,2,0.0,0.23863106860481115,5
tfim,iid,3,0.0,0.36139378865637506,1
tfim,iid,4,0.0,0.4422155252409288,4
tfim,iid,5,0.8888888888888888,0.5719143612669266,9
tfim,iid,6,1.0,0.6024929610471818,3
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.16271343149125353,3
tfim,iid,2,0.0,0.2292167903884899,2
tfim,iid,3,0.0,0.36822507364460555,3
tfim,iid,4,0.0,0.4594654353004036,2
tfim,iid,5,0.9,0.5708499120948696,10
tfim,iid,6,1.0,0.6003303993349574,2
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
