family,split_type,split_seed,optimizer_seed,accuracy,balanced_accuracy,f1,roc_auc,cross_entropy,brier_score,ece,fixed_threshold_ba,validation_selected_threshold,validation_selected_test_ba,threshold_shift,recalibrated_ba,mean_score_class_0,mean_score_class_1,score_separation,optimizer_success,scipy_optimizer_success,optimizer_message,termination_reason,n_function_evaluations,maxiter_budget,initial_train_loss,best_train_loss,final_train_loss,validation_loss,loss_improvement,last_10_eval_improvement,evaluation_limit_reached,convergence_plateau_detected,training_time
tfim,iid,11,100,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.45160196315931617,0.13723635772787157,0.30913162656453236,0.9545454545454546,0.5,0.9545454545454546,0.0,0.9090909090909092,0.28587260885977955,0.574882358900031,0.2890097500402515,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6584325496230772,0.48641488943170347,0.48641488943170347,0.4912811076840186,0.1720176601913737,0.000816440071694291,True,False,72.42942319999565
tfim,iid,11,200,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4637999787682759,0.1429498817739328,0.3157965449095018,0.9545454545454546,0.5,0.9545454545454546,0.0,0.8181818181818181,0.2959246441235228,0.5698887440540412,0.2739640999305184,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7816030788627963,0.5003171426867221,0.5004157903592501,0.5054408960155686,0.28118728850354624,0.00017746779837735094,True,False,32.315103900000395
tfim,iid,11,300,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4214444050055493,0.12553016577547835,0.2848754098712868,0.9545454545454546,0.52,0.9545454545454546,0.020000000000000018,0.9090909090909092,0.26937899058059683,0.6009434240420548,0.331564433461458,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.708880634145337,0.46407714183604254,0.46407714183604254,0.4670756246006755,0.24480349230929443,0.0008125563806901104,True,False,72.46985909999785
tfim,iid,11,400,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4240144253069524,0.12798411183588054,0.28692606369031504,0.9545454545454546,0.5,0.9545454545454546,0.0,0.9090909090909092,0.25222609772141247,0.5833188601276217,0.3310927624062092,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7380260850399877,0.46515993256069493,0.46515993256069493,0.46991798695691417,0.27286615247929275,0.0016897503233745947,True,False,72.55733380000311
tfim,iid,11,500,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4217785366240335,0.12329905546847063,0.28537953599614324,0.9545454545454546,0.54,0.9545454545454546,0.040000000000000036,0.9090909090909092,0.30426633688992744,0.6307953838383693,0.32652904694844187,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6780396683649245,0.46501276797599145,0.46501276797599145,0.4664903716908836,0.21302690038893302,0.001089457620884804,True,False,73.63248129999556
tfim,iid,23,100,1.0,1.0,1.0,1.0,0.47933611111469454,0.14762000991261168,0.37653182902018273,1.0,0.5,1.0,0.0,0.8181818181818181,0.32110570072665645,0.568042042686291,0.24693634195963454,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6571647221385937,0.47809501204260607,0.47809501204260607,0.48296717382336285,0.1790697100959876,0.0036646629427616872,True,False,72.28804469999886
tfim,iid,23,200,1.0,1.0,1.0,1.0,0.491825925498175,0.15293746856280313,0.38508532436838444,1.0,0.5,1.0,0.0,0.6818181818181819,0.3423819108539947,0.5722112621172258,0.22982935126323112,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.785070055094599,0.48825005944721156,0.48825005944721156,0.4919621915665415,0.2968199956473875,0.0020329568888060034,True,False,73.66405789999408
tfim,iid,23,300,1.0,1.0,1.0,1.0,0.47125331831257317,0.14351018253572398,0.3722912995767047,1.0,0.5,1.0,0.0,0.8181818181818181,0.3362245349780522,0.5916419358246429,0.25541740084659065,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7095671022538601,0.46790701856933214,0.46790701856933214,0.4708333929792521,0.24166008368452796,0.0015858573075910876,True,False,73.13363930000196
tfim,iid,23,400,1.0,1.0,1.0,1.0,0.46585801125520626,0.14147183754292755,0.36828098127772074,1.0,0.5,1.0,0.0,0.8181818181818181,0.32214268709041316,0.5855807245349717,0.2634380374445585,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7395559435398964,0.46308344616197883,0.46308344616197883,0.4667676790884365,0.27647249737791757,0.0008307975165593451,True,False,84.11567669999931
tfim,iid,23,500,1.0,1.0,1.0,1.0,0.4437963577772371,0.13027475420834958,0.3549396464547828,1.0,0.54,1.0,0.040000000000000036,0.9545454545454546,0.386230462881003,0.6763511699714373,0.2901207070904343,True,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6772506463590994,0.44467472807474806,0.44539819100388556,0.44183326465949185,0.23185245535521382,-0.00024848257496756787,True,True,83.77209179999772
