family,repeat,training_seed,condition,training_seconds,accuracy,balanced_accuracy,f1,roc_auc,log_loss
tfim,0,12345,ideal,18.724759599999743,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.4285714285714286,0.6931471805340629
tfim,0,12345,mixed_training_b_noise,18.724759599999743,0.23076923076923078,0.23809523809523808,0.16666666666666666,0.13095238095238093,0.719984906773332
tfim,1,12445,ideal,21.78213870000036,0.46153846153846156,0.45238095238095233,0.5333333333333333,0.40476190476190477,0.6931471805438923
tfim,1,12445,mixed_training_b_noise,21.78213870000036,0.38461538461538464,0.40476190476190477,0.2,0.4523809523809524,0.7119320241763324
tfim,2,12545,ideal,43.87130160000015,0.6923076923076923,0.7023809523809523,0.6666666666666666,0.761904761904762,0.6931471805524321
tfim,2,12545,mixed_training_b_noise,43.87130160000015,0.5384615384615384,0.5476190476190476,0.5,0.4166666666666667,0.7043101574105852
tfim,3,12645,ideal,27.645823000000746,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.5238095238095238,0.6931471805068556
tfim,3,12645,mixed_training_b_noise,27.645823000000746,0.38461538461538464,0.38095238095238093,0.42857142857142855,0.45238095238095244,0.7035053987989498
tfim,4,12745,ideal,17.09692179999911,0.46153846153846156,0.4642857142857143,0.46153846153846156,0.5238095238095238,0.6931471804948812
tfim,4,12745,mixed_training_b_noise,17.09692179999911,0.38461538461538464,0.369047619047619,0.5,0.35714285714285715,0.7002494365833714
xxz,0,12345,ideal,17.07836259999931,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.5,0.6931471805599274
xxz,0,12345,mixed_training_b_noise,17.07836259999931,0.6153846153846154,0.6428571428571428,0.4444444444444444,0.47619047619047616,0.6990722098295283
xxz,1,12445,ideal,18.194924999999785,0.46153846153846156,0.4642857142857143,0.46153846153846156,0.5,0.6931471805599487
xxz,1,12445,mixed_training_b_noise,18.194924999999785,0.38461538461538464,0.40476190476190477,0.2,0.39285714285714285,0.7028886882862696
xxz,2,12545,ideal,17.729188500001328,0.46153846153846156,0.4642857142857143,0.46153846153846156,0.4285714285714286,0.6931471805598564
xxz,2,12545,mixed_training_b_noise,17.729188500001328,0.46153846153846156,0.47619047619047616,0.36363636363636365,0.4285714285714286,0.707476172847429
xxz,3,12645,ideal,16.885009399999035,0.38461538461538464,0.38095238095238093,0.42857142857142855,0.35714285714285715,0.693147180560002
xxz,3,12645,mixed_training_b_noise,16.885009399999035,0.38461538461538464,0.40476190476190477,0.2,0.32142857142857145,0.7121646464254995
xxz,4,12745,ideal,17.24055899999985,0.5384615384615384,0.5238095238095238,0.625,0.44047619047619047,0.6931471805598477
xxz,4,12745,mixed_training_b_noise,17.24055899999985,0.5384615384615384,0.5595238095238095,0.4,0.6071428571428572,0.6887593404201363
cluster,0,12345,ideal,17.04138050000074,0.5384615384615384,0.5119047619047619,0.6666666666666666,0.19047619047619044,0.6931471805613177
cluster,0,12345,mixed_training_b_noise,17.04138050000074,0.46153846153846156,0.5,0.0,0.29761904761904756,0.714403967780769
cluster,1,12445,ideal,16.742147599999953,0.6153846153846154,0.5833333333333334,0.7368421052631579,0.2857142857142857,0.6931471805605244
cluster,1,12445,mixed_training_b_noise,16.742147599999953,0.5384615384615384,0.5714285714285714,0.25,0.5119047619047619,0.6999178898241595
cluster,2,12545,ideal,16.61065899999994,0.5384615384615384,0.5119047619047619,0.6666666666666666,0.21428571428571427,0.6931471805612003
cluster,2,12545,mixed_training_b_noise,16.61065899999994,0.5384615384615384,0.5595238095238095,0.4,0.5238095238095238,0.6976780430150574
cluster,3,12645,ideal,17.217163999999684,0.6153846153846154,0.5833333333333334,0.7368421052631579,0.21428571428571427,0.6931471805606487
cluster,3,12645,mixed_training_b_noise,17.217163999999684,0.46153846153846156,0.5,0.0,0.2976190476190476,0.7182448999451013
cluster,4,12745,ideal,16.84546659999978,0.5384615384615384,0.5119047619047619,0.6666666666666666,0.16666666666666663,0.6931471805612031
cluster,4,12745,mixed_training_b_noise,16.84546659999978,0.6923076923076923,0.7142857142857143,0.6,0.7380952380952379,0.6851713564234732
