family,model,samples_per_class,repeat,access_regime,model_complexity,training_seconds,accuracy,balanced_accuracy,f1,roc_auc,log_loss
tfim,qcnn,4,0,direct_quantum_state,27,5.888220699998783,1.0,1.0,1.0,1.0,0.4987021710530882
tfim,svm_rbf,4,0,local_observable_map,5,0.04140660000120988,1.0,1.0,1.0,1.0,0.22287364702676096
tfim,qcnn,4,1,direct_quantum_state,27,6.689098999995622,1.0,1.0,1.0,1.0,0.4643036953228345
tfim,svm_rbf,4,1,local_observable_map,5,0.0036030999981448986,0.8461538461538461,0.8333333333333333,0.875,1.0,0.2887828380585946
tfim,qcnn,4,2,direct_quantum_state,27,7.271585099995718,1.0,1.0,1.0,1.0,0.39692710625424843
tfim,svm_rbf,4,2,local_observable_map,5,0.0035970000026281923,1.0,1.0,1.0,1.0,0.16189510044363895
tfim,qcnn,8,0,direct_quantum_state,27,12.107220599995344,1.0,1.0,1.0,1.0,0.49945903292855987
tfim,svm_rbf,8,0,local_observable_map,7,0.0028693999993265606,1.0,1.0,1.0,1.0,0.1609771912641476
tfim,qcnn,8,1,direct_quantum_state,27,12.334715299999516,1.0,1.0,1.0,1.0,0.456110879189878
tfim,svm_rbf,8,1,local_observable_map,6,0.002609900002426002,1.0,1.0,1.0,1.0,0.14906800739877293
tfim,qcnn,8,2,direct_quantum_state,27,12.797186100004183,1.0,1.0,1.0,1.0,0.39317983644686644
tfim,svm_rbf,8,2,local_observable_map,5,0.0035751000032178126,1.0,1.0,1.0,1.0,0.13867785040023417
tfim,qcnn,16,0,direct_quantum_state,27,20.5278255000012,1.0,1.0,1.0,1.0,0.48421302869218674
tfim,svm_rbf,16,0,local_observable_map,7,0.0015076000054250471,1.0,1.0,1.0,1.0,0.110198022611234
tfim,qcnn,16,1,direct_quantum_state,27,20.831715699998313,1.0,1.0,1.0,1.0,0.4904317818222586
tfim,svm_rbf,16,1,local_observable_map,7,0.004120499994314741,1.0,1.0,1.0,1.0,0.07756431303382458
tfim,qcnn,16,2,direct_quantum_state,27,23.80811790000007,1.0,1.0,1.0,1.0,0.39616068316697167
tfim,svm_rbf,16,2,local_observable_map,6,0.003831900001387112,1.0,1.0,1.0,1.0,0.06560242219512954
tfim,qcnn,24,0,direct_quantum_state,27,34.88702909999847,1.0,1.0,1.0,1.0,0.48777216451847044
tfim,svm_rbf,24,0,local_observable_map,10,0.00266389999887906,1.0,1.0,1.0,1.0,0.06000029900178734
tfim,qcnn,24,1,direct_quantum_state,27,36.2259097999995,1.0,1.0,1.0,1.0,0.4958344975830642
tfim,svm_rbf,24,1,local_observable_map,11,0.0039161000022431836,1.0,1.0,1.0,1.0,0.05193424081102539
tfim,qcnn,24,2,direct_quantum_state,27,36.06720849999692,1.0,1.0,1.0,1.0,0.3917978581253219
tfim,svm_rbf,24,2,local_observable_map,11,0.004810799997358117,1.0,1.0,1.0,1.0,0.049272605753715205
