family,temperature,balanced_accuracy
tfim,0.0,1.0
tfim,0.01,0.7777777777777778
tfim,0.025,0.7222222222222222
tfim,0.05,0.6666666666666666
tfim,0.1,0.5
tfim,0.2,0.5
tfim,0.4,0.5
xxz,0.0,0.9444444444444444
xxz,0.01,0.9444444444444444
xxz,0.025,0.9444444444444444
xxz,0.05,0.9444444444444444
xxz,0.1,0.9444444444444444
xxz,0.2,0.9444444444444444
xxz,0.4,1.0
cluster,0.0,0.9444444444444444
cluster,0.01,0.9444444444444444
cluster,0.025,0.9444444444444444
cluster,0.05,0.9444444444444444
cluster,0.1,1.0
cluster,0.2,1.0
cluster,0.4,1.0
